species,scientificName,taxonomicStatus,New.accepted,scientificNameAuthorship,genus,taxonRank,family,taxonID,references,source
Carissa edulis,Carissa spinarum,Accepted,TRUE,L.,Carissa,species,Apocynaceae,wfo-0000803913,,The Apocynaceae TEN
Carissa spinarum,Carissa spinarum,Accepted,FALSE,L.,Carissa,species,Apocynaceae,wfo-0000803913,,The Apocynaceae TEN
Cassia abbreviata,Cassia abbreviata,Accepted,FALSE,Oliv.,Cassia,species,Fabaceae,wfo-0000214576,https://www.legumedata.org/taxonomy/taxon/2702577,The Fabaceae TEN - Legume Taxonomy Working Group
Cassia petersiana,Senna petersiana,Accepted,TRUE,(Bolle) Lock,Senna,species,Fabaceae,wfo-0000184159,https://www.legumedata.org/taxonomy/taxon/2591104,The Fabaceae TEN - Legume Taxonomy Working Group
Clematopsis scabiossifolia,Clematis villosa,Accepted,TRUE,DC.,Clematis,species,Ranunculaceae,wfo-0000610865,,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Clerodendrum glabrum,Volkameria glabra,Accepted,TRUE,(E.Mey.) Mabb. & Y.W.Yuan,Volkameria,species,Lamiaceae,wfo-0000916754,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77103945-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Colophospermum mopane,Colophospermum mopane,Accepted,FALSE,(J.Kirk ex Benth.) J.Léonard,Colophospermum,species,Fabaceae,wfo-0001057638,https://www.legumedata.org/taxonomy/taxon/2731425,The Fabaceae TEN - Legume Taxonomy Working Group
Combretum apiculatum,Combretum apiculatum,Accepted,FALSE,Sond.,Combretum,species,Combretaceae,wfo-0000616083,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:169913-1,The Combretaceae TEN
Combretum hereroense,Combretum hereroense,Accepted,FALSE,Schinz,Combretum,species,Combretaceae,wfo-0000616365,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170145-1,The Combretaceae TEN
Combretum imberbe,Combretum imberbe,Accepted,FALSE,Wawra,Combretum,species,Combretaceae,wfo-0000616388,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170163-1,The Combretaceae TEN
Combretum molle,Combretum molle,Accepted,FALSE,R.Br. ex G.Don,Combretum,species,Combretaceae,wfo-0000616553,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170290-1,The Combretaceae TEN
Combretum mossambicense,Combretum mossambicense,Accepted,FALSE,(Klotzsch) Engl.,Combretum,species,Combretaceae,wfo-0000616560,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170296-1,The Combretaceae TEN
Combretum zeyheri,Combretum zeyheri,Accepted,FALSE,Sond.,Combretum,species,Combretaceae,wfo-0000616927,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:170592-1,The Combretaceae TEN
Commiphora africana,Commiphora africana,Accepted,FALSE,(A.Rich.) Engl.,Commiphora,species,Burseraceae,wfo-0001328094,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:127576-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Cordia monoicaroxb,Cordia,Accepted,FALSE,L.,Cordia,genus,Cordiaceae,wfo-4000009266,,TPL1.1
Dalbergia melanoxylon,Dalbergia melanoxylon,Accepted,FALSE,Guill. & Perr.,Dalbergia,species,Fabaceae,wfo-0000172325,https://www.legumedata.org/taxonomy/taxon/2755721,The Fabaceae TEN - Legume Taxonomy Working Group
Dalbergia nitidula,Dalbergia nitidula,Accepted,FALSE,Welw. ex Baker,Dalbergia,species,Fabaceae,wfo-0000172371,https://www.legumedata.org/taxonomy/taxon/2755769,The Fabaceae TEN - Legume Taxonomy Working Group
Dichrostachys cinerea,Dichrostachys cinerea,Accepted,FALSE,(L.) Wight & Arn.,Dichrostachys,species,Fabaceae,wfo-0000176871,https://www.legumedata.org/taxonomy/taxon/2766297,The Fabaceae TEN - Legume Taxonomy Working Group
Diospyros lycioides,Diospyros lycioides,Accepted,FALSE,Desf.,Diospyros,species,Ebenaceae,wfo-0000649257,,The Ebenaceae TEN
Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,Accepted,FALSE,(Müll.Arg.) Pichon,Diplorhynchus,species,Apocynaceae,wfo-0000944083,,The Apocynaceae TEN
Dombeya rotundifolia,Dombeya rotundifolia,Accepted,FALSE,(Hochst.) Planch.,Dombeya,species,Malvaceae,wfo-0000653948,,The Malvaceae TEN
Dovyalis caffra,Dovyalis afra,Accepted,FALSE,(Hook.f. & Harv.) Sim,Dovyalis,species,Salicaceae,wfo-0000925143,,The Salicaceae & Lacistemataceae TEN
Elaeodendron papillosum,Elaeodendron papillosum,Accepted,FALSE,Hochst.,Elaeodendron,species,Celastraceae,wfo-0000664999,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160715-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Euclea divinorum,Euclea divinorum,Accepted,FALSE,Hiern,Euclea,species,Ebenaceae,wfo-0000681081,,The Ebenaceae TEN
Flacourtia indica,Flacourtia indica,Accepted,FALSE,(Burm.f.) Merr.,Flacourtia,species,Salicaceae,wfo-0000925655,,The Salicaceae & Lacistemataceae TEN
Fluegga virosa,Flueggea virosa,Accepted,FALSE,(Roxb. ex Willd.) Royle,Flueggea,species,Phyllanthaceae,wfo-0000967255,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1013601-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Gardenia spathulifolia,Gardenia volkensii subsp. spatulifolia,Accepted,TRUE,(Stapf & Hutch.) Verdc.,Gardenia,subspecies,Rubiaceae,wfo-0000971258,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:890353-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Grewia bicolor,Grewia bicolor,Accepted,FALSE,Juss.,Grewia,species,Malvaceae,wfo-0000709772,,The Malvaceae TEN
Grewia decomovulata,Grewia decemovulata,Accepted,FALSE,Merxm.,Grewia,species,Malvaceae,wfo-0000709876,,The Malvaceae TEN
Grewia flavescens,Grewia flavescens,Accepted,FALSE,Juss.,Grewia,species,Malvaceae,wfo-0000709930,,The Malvaceae TEN
Grewia monticola,Grewia monticola,Accepted,FALSE,Sond.,Grewia,species,Malvaceae,wfo-0000710115,,The Malvaceae TEN
Gymnosporia putterlickioides,Gymnosporia putterlickioides,Accepted,FALSE,Loes.,Gymnosporia,species,Celastraceae,wfo-0000713027,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161425-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Gymnosporia senegalensis,Gymnosporia senegalensis,Accepted,FALSE,(Lam.) Loes.,Gymnosporia,species,Celastraceae,wfo-0000713049,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161441-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Indigofera ormocarpoides,Indigofera ormocarpoides,Accepted,FALSE,Baker,Indigofera,species,Fabaceae,wfo-0000194123,https://www.legumedata.org/taxonomy/taxon/2864443,The Fabaceae TEN - Legume Taxonomy Working Group
Jacaranda mimosifolia,Jacaranda mimosifolia,Accepted,FALSE,D.Don,Jacaranda,species,Bignoniaceae,wfo-0000778761,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:130936-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Kirkia acuminata,Kirkia acuminata,Accepted,FALSE,Oliv.,Kirkia,species,Kirkiaceae,wfo-0000357048,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813789-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Lannea discolor,Lannea discolor,Accepted,FALSE,(Sond.) Engl.,Lannea,species,Anacardiaceae,wfo-0000360303,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69764-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Lannea edulis,Lannea edulis,Accepted,FALSE,(Sond.) Engl.,Lannea,species,Anacardiaceae,wfo-0000360306,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69767-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Lannea schweinfurthii,Lannea schweinfurthii,Accepted,FALSE,Engl.,Lannea,species,Anacardiaceae,wfo-0000360222,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:69804-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Lantana rugosa,Lantana rugosa,Accepted,FALSE,Thunb.,Lantana,species,Verbenaceae,wfo-0000223367,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:863429-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Lippia javanica,Lippia javanica,Accepted,FALSE,(Burm.f.) Spreng.,Lippia,species,Verbenaceae,wfo-0000228924,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:863680-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Maclura africana,Maclura africana,Accepted,FALSE,(Bureau) Corner,Maclura,species,Moraceae,wfo-0001084779,,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Melhania velutinasensu,Melhania,Accepted,FALSE,Forssk.,Melhania,genus,Malvaceae,wfo-4000023624,,The Malvaceae TEN
Nuxia oppositifolia,Nuxia oppositifolia,Accepted,FALSE,(Hochst.) Benth.,Nuxia,species,Stilbaceae,wfo-0000797445,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:546840-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Ochna serrulata,Ochna serrulata,Accepted,FALSE,Walp.,Ochna,species,Ochnaceae,wfo-0001087136,,The Ochnaceae TEN
Ormocarpum kirkii,Ormocarpum kirkii,Accepted,FALSE,S.Moore,Ormocarpum,species,Fabaceae,wfo-0000175963,https://www.legumedata.org/taxonomy/taxon/2389118,The Fabaceae TEN - Legume Taxonomy Working Group
Ormocarpum trichocarpum,Ormocarpum trichocarpum,Accepted,FALSE,(Taub.) Engl.,Ormocarpum,species,Fabaceae,wfo-0000176231,https://www.legumedata.org/taxonomy/taxon/2389151,The Fabaceae TEN - Legume Taxonomy Working Group
Ozoroa insignis,Ozoroa insignis,Accepted,FALSE,Delile,Ozoroa,species,Anacardiaceae,wfo-0000385517,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:70169-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Pappea capensis,Pappea capensis,Accepted,FALSE,Eckl. & Zeyh.,Pappea,species,Sapindaceae,wfo-0000471143,,The Sapindaceae TEN
Pavetta schumanniana,Pavetta schumanniana,Accepted,FALSE,F.Hoffm. ex K.Schum.,Pavetta,species,Rubiaceae,wfo-0000265844,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:760027-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Peltophorum africanum,Peltophorum africanum,Accepted,FALSE,Sond.,Peltophorum,species,Fabaceae,wfo-0000194865,https://www.legumedata.org/taxonomy/taxon/2538309,The Fabaceae TEN - Legume Taxonomy Working Group
Philenoptera violacea,Philenoptera violacea,Accepted,FALSE,(Klotzsch) Schrire,Philenoptera,species,Fabaceae,wfo-0001034643,https://www.legumedata.org/taxonomy/taxon/2539921,The Fabaceae TEN - Legume Taxonomy Working Group
Piliostigma thonningii,Piliostigma thonningii,Accepted,FALSE,(Schumach.) Milne-Redh.,Piliostigma,species,Fabaceae,wfo-0000170413,https://www.legumedata.org/taxonomy/taxon/2539801,The Fabaceae TEN - Legume Taxonomy Working Group
Pouzolzia mixta,Pouzolzia mixta,Accepted,FALSE,Solms,Pouzolzia,species,Urticaceae,wfo-0000472380,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:856187-1,The Urticaceae TEN
Pseudolachnostylis maprouneifolia,Pseudolachnostylis maprouneifolia,Accepted,FALSE,Pax,Pseudolachnostylis,species,Phyllanthaceae,wfo-0000284016,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:355079-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Pterocarpus rotundifolius,Pterocarpus rotundifolius,Accepted,FALSE,(Sond.) Druce,Pterocarpus,species,Fabaceae,wfo-0000172802,https://www.legumedata.org/taxonomy/taxon/2535343,The Fabaceae TEN - Legume Taxonomy Working Group
Rhus lancea,Searsia lancea,Accepted,TRUE,(L.f.) F.A.Barkley,Searsia,species,Anacardiaceae,wfo-0000434904,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71177-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Rhus leptodictya,Searsia leptodictya,Accepted,TRUE,"(Diels) T.S.Yi, A.J.Mill. & J.Wen",Searsia,species,Anacardiaceae,wfo-0000434886,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77063303-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Rhus longipes,Searsia longipes,Accepted,TRUE,(Engl.) Moffett,Searsia,species,Anacardiaceae,wfo-0000510261,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77088456-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Sclerocarya birrea,Sclerocarya birrea,Accepted,FALSE,(A.Rich.) Hochst.,Sclerocarya,species,Anacardiaceae,wfo-0000434908,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71162-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Senegalia ataxacantha,Senegalia ataxacantha,Accepted,FALSE,(DC.) Kyal. & Boatwr.,Senegalia,species,Fabaceae,wfo-0001336544,https://www.legumedata.org/taxonomy/taxon/2998828,The Fabaceae TEN - Legume Taxonomy Working Group
Senegalia nigrescens,Senegalia nigrescens,Accepted,FALSE,(Oliv.) P.J.H.Hurter,Senegalia,species,Fabaceae,wfo-0001284771,https://www.legumedata.org/taxonomy/taxon/2608730,The Fabaceae TEN - Legume Taxonomy Working Group
Senegalia rehmanniana,Senegalia,Accepted,FALSE,Raf.,Senegalia,genus,Fabaceae,wfo-4000035067,https://www.legumedata.org/taxonomy/taxon/2590638,The Fabaceae TEN - Legume Taxonomy Working Group
Steganotaenia araliacea,Steganotaenia araliacea,Accepted,FALSE,Hochst.,Steganotaenia,species,Apiaceae,wfo-0000431247,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:849204-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Strychnos cocculoides,Strychnos cocculoides,Accepted,FALSE,Baker,Strychnos,species,Loganiaceae,wfo-0000502695,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:547124-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Strychnos spinosa,Strychnos spinosa,Accepted,FALSE,Lam.,Strychnos,species,Loganiaceae,wfo-0000502889,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:547485-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Tarchonanthus camphoratus,Tarchonanthus camphoratus,Accepted,FALSE,L.,Tarchonanthus,species,Asteraceae,wfo-0000116602,https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1096265,The Asteraceaae TEN
Terminalia prunioides,Terminalia prunioides,Accepted,FALSE,M.A.Lawson,Terminalia,species,Combretaceae,wfo-0000408552,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:171334-1,The Combretaceae TEN
Terminalia sericea,Terminalia sericea,Accepted,FALSE,Burch. ex DC.,Terminalia,species,Combretaceae,wfo-0000408491,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:171387-1,The Combretaceae TEN
Vachellia gerrardii,Vachellia gerrardii,Accepted,FALSE,(Benth.) P.J.H.Hurter,Vachellia,species,Fabaceae,wfo-0001284775,https://www.legumedata.org/taxonomy/taxon/2609115,The Fabaceae TEN - Legume Taxonomy Working Group
Vachellia karroo,Vachellia karroo,Accepted,FALSE,(Hayne) Banfi & Galasso,Vachellia,species,Fabaceae,wfo-0000510579,https://www.legumedata.org/taxonomy/taxon/2609116,The Fabaceae TEN - Legume Taxonomy Working Group
Vachellia nilotica,Vachellia nilotica,Accepted,FALSE,(L.) P.J.H.Hurter & Mabb.,Vachellia,species,Fabaceae,wfo-0001284776,https://www.legumedata.org/taxonomy/taxon/2609117,The Fabaceae TEN - Legume Taxonomy Working Group
Vangueria randii,Vangueria randii,Accepted,FALSE,S.Moore,Vangueria,species,Rubiaceae,wfo-0000331299,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:769786-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Viscum combreticola,Viscum combreticola,Accepted,FALSE,Engl.,Viscum,species,Santalaceae,wfo-0000425052,,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Vitex mombasa,Vitex mombassae,Accepted,FALSE,Vatke,Vitex,species,Lamiaceae,wfo-0000333282,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:865879-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Vitex payos,Vitex payos,Accepted,FALSE,(Lour.) Merr.,Vitex,species,Lamiaceae,wfo-0000333345,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:865918-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Volkameria eriophylla,Volkameria eriophylla,Accepted,FALSE,(Gürke) Mabb. & Y.W.Yuan,Volkameria,species,Lamiaceae,wfo-0000916726,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77104016-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Warburgia salutaris,Warburgia salutaris,Accepted,FALSE,(G.Bertol.) Chiov.,Warburgia,species,Canellaceae,wfo-0000427579,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:146036-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Ximenia caffra,Ximenia afra,Accepted,FALSE,Sond.,Ximenia,species,Olacaceae,wfo-0000428236,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:608572-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Zanthoxylum capense,Zanthoxylum capense,Accepted,FALSE,(Thunb.) Harv.,Zanthoxylum,species,Rutaceae,wfo-0001132959,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:775632-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
Ziziphus mucronata,Ziziphus mucronata,Accepted,FALSE,Willd.,Ziziphus,species,Rhamnaceae,wfo-0000430319,,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
