SITE,PLOT,SUBPLOT,Transect point,Fine,Coarse,Woody
A,4,Z3,1,1,4,4
A,4,Z3,2,1,3,NA
A,4,Z3,3,3,4,4
A,4,Z3,4,2,4,NA
A,4,Z3,5,2,4,4
A,4,Z3,6,2,4,4
A,4,Z3,7,1,4,NA
A,4,Z3,8,2,4,NA
A,4,Z3,9,1,4,NA
A,4,Z3,10,2,4,4
A,4,Z3,11,1,4,4
A,4,Z3,12,1,4,4
A,4,Z4,1,1,4,4
A,4,Z4,2,1,4,4
A,4,Z4,3,1,4,NA
A,4,Z4,4,2,4,4
A,4,Z4,5,2,4,4
A,4,Z4,6,1,4,4
A,4,Z4,7,1,4,NA
A,4,Z4,8,1,4,NA
A,4,Z4,9,1,4,NA
A,4,Z4,10,1,4,4
A,4,Z4,11,1,4,4
A,4,Z4,12,1,4,NA
A,5,Z1,1,2,4,4
A,5,Z1,2,1,4,4
A,5,Z1,3,1,3,4
A,5,Z1,4,1,3,4
A,5,Z1,5,1,4,4
A,5,Z1,6,1,4,4
A,5,Z1,7,2,4,4
A,5,Z1,8,1,3,4
A,5,Z1,9,1,4,4
A,5,Z1,10,1,3,3
A,5,Z1,11,1,4,4
A,5,Z1,12,1,3,4
A,5,Z2,1,2,4,4
A,5,Z2,2,1,4,NA
A,5,Z2,3,1,4,4
A,5,Z2,4,1,4,4
A,5,Z2,5,1,4,4
A,5,Z2,6,1,4,NA
A,5,Z2,7,1,4,NA
A,5,Z2,8,1,4,4
A,5,Z2,9,2,4,NA
A,5,Z2,10,1,4,4
A,5,Z2,11,1,4,4
A,5,Z2,12,1,4,NA
A,5,Z3,1,3,4,4
A,5,Z3,2,2,4,NA
A,5,Z3,3,3,4,4
A,5,Z3,4,2,4,4
A,5,Z3,5,2,4,4
A,5,Z3,6,3,4,NA
A,5,Z3,7,4,3,NA
A,5,Z3,8,2,4,4
A,5,Z3,9,2,4,NA
A,5,Z3,10,2,4,4
A,5,Z3,11,3,4,NA
A,5,Z3,12,2,4,4
A,5,Z4,1,2,4,4
A,5,Z4,2,2,4,4
A,5,Z4,3,2,4,4
A,5,Z4,4,2,4,NA
A,5,Z4,5,2,4,4
A,5,Z4,6,2,4,NA
A,5,Z4,7,2,4,NA
A,5,Z4,8,2,4,NA
A,5,Z4,9,2,4,4
A,5,Z4,10,2,4,4
A,5,Z4,11,2,4,4
A,5,Z4,12,2,4,4
B,2,Z1,1,4,4,4
B,2,Z1,2,1,NA,NA
B,2,Z1,3,1,NA,NA
B,2,Z1,4,2,NA,NA
B,2,Z1,5,1,NA,NA
B,2,Z1,6,1,NA,NA
B,2,Z1,7,1,NA,NA
B,2,Z1,8,1,NA,NA
B,2,Z1,9,1,NA,NA
B,2,Z1,10,1,NA,NA
B,2,Z1,11,2,NA,NA
B,2,Z1,12,1,4,NA
B,2,Z2,1,1,NA,NA
B,2,Z2,2,1,NA,NA
B,2,Z2,3,1,2,NA
B,2,Z2,4,1,NA,NA
B,2,Z2,5,3,NA,NA
B,2,Z2,6,1,1,NA
B,2,Z2,7,2,NA,NA
B,2,Z2,8,3,NA,NA
B,2,Z2,9,3,NA,NA
B,2,Z2,10,2,NA,NA
B,2,Z2,11,2,NA,NA
B,2,Z2,12,4,NA,NA
B,2,Z3,1,3,4,NA
B,2,Z3,2,4,NA,NA
B,2,Z3,3,2,NA,NA
B,2,Z3,4,2,NA,NA
B,2,Z3,5,4,NA,NA
B,2,Z3,6,1,NA,NA
B,2,Z3,7,4,NA,NA
B,2,Z3,8,2,NA,NA
B,2,Z3,9,1,4,NA
B,2,Z3,10,2,NA,NA
B,2,Z3,11,2,NA,NA
B,2,Z3,12,1,NA,NA
B,2,Z4,1,2,4,1
B,2,Z4,2,2,1,NA
B,2,Z4,3,2,NA,NA
B,2,Z4,4,2,NA,NA
B,2,Z4,5,1,NA,NA
B,2,Z4,6,3,NA,NA
B,2,Z4,7,1,NA,NA
B,2,Z4,8,2,NA,NA
B,2,Z4,9,2,NA,NA
B,2,Z4,10,1,NA,NA
B,2,Z4,11,1,NA,NA
B,2,Z4,12,1,4,NA
B,3,Z1,1,4,4,4
B,3,Z1,2,4,NA,NA
B,3,Z1,3,1,4,4
B,3,Z1,4,2,NA,NA
B,3,Z1,5,1,4,NA
B,3,Z1,6,1,4,4
B,3,Z1,7,1,4,NA
B,3,Z1,8,2,4,NA
B,3,Z1,9,2,4,NA
B,3,Z1,10,3,NA,NA
B,3,Z1,11,2,NA,NA
B,3,Z1,12,3,NA,NA
B,3,Z2,1,2,4,4
B,3,Z2,2,3,4,4
B,3,Z2,3,1,4,4
B,3,Z2,4,2,4,NA
B,3,Z2,5,3,4,4
B,3,Z2,6,1,4,4
B,3,Z2,7,3,4,4
B,3,Z2,8,4,NA,NA
B,3,Z2,9,2,3,NA
B,3,Z2,10,3,4,NA
B,3,Z2,11,1,4,4
B,3,Z2,12,2, NA,NA
B,3,Z3,1,2,4,4
B,3,Z3,2,4,NA,NA
B,3,Z3,3,1,NA,4
B,3,Z3,4,4,4,4
B,3,Z3,5,4,NA,NA
B,3,Z3,6,4,4,4
B,3,Z3,7,2,NA,4
B,3,Z3,8,2,2,NA
B,3,Z3,9,2,NA,NA
B,3,Z3,10,2,4,NA
B,3,Z3,11,2,NA,NA
B,3,Z3,12,2,4,NA
B,3,Z4,1,2,NA,4
B,3,Z4,2,4,4,4
B,3,Z4,3,2,4,NA
B,3,Z4,4,1,NA,4
B,3,Z4,5,1,NA,4
B,3,Z4,6,1,4,4
B,3,Z4,7,1,NA,4
B,3,Z4,8,3,4,NA
B,3,Z4,9,2,4,4
B,3,Z4,10,2,4,NA
B,3,Z4,11,4,4,NA
B,3,Z4,12,1,4,4
B,4,Z1,1,2,NA,4
B,4,Z1,2,1,4,4
B,4,Z1,3,2,NA,NA
B,4,Z1,4,2,3,4
B,4,Z1,5,2,4,NA
B,4,Z1,6,1,NA,4
B,4,Z1,7,1,4,4
B,4,Z1,8,1,4,3
B,4,Z1,9,2,NA,4
B,4,Z1,10,1,4,4
B,4,Z1,11,1,4,NA
B,4,Z1,12,1,4,4
B,4,Z2,1,2,NA,3
B,4,Z2,2,4,4,4
B,4,Z2,3,4,NA,NA
B,4,Z2,4,4,4,4
B,4,Z2,5,3,4,4
B,4,Z2,6,2,4,4
B,4,Z2,7,4,4,4
B,4,Z2,8,1,NA,NA
B,4,Z2,9,1,4,NA
B,4,Z2,10,1,4,4
B,4,Z2,11,1,4,4
B,4,Z2,12,1,4,4
B,4,Z3,1,1,4,4
B,4,Z3,2,1,3,3
B,4,Z3,3,1,2,NA
B,4,Z3,4,1,4,NA
B,4,Z3,5,1,4,4
B,4,Z3,6,1,NA,4
B,4,Z3,7,1,NA,NA
B,4,Z3,8,1,4,NA
B,4,Z3,9,2,NA,NA
B,4,Z3,10,2,NA,NA
B,4,Z3,11,2,4,4
B,4,Z3,12,1,NA,4
B,4,Z4,1,2,4,4
B,4,Z4,2,3,NA,NA
B,4,Z4,3,1,4,NA
B,4,Z4,4,1,4,4
B,4,Z4,5,1,3,NA
B,4,Z4,6,1,4,4
B,4,Z4,7,1,NA,4
B,4,Z4,8,1,NA,3
B,4,Z4,9,1,NA,NA
B,4,Z4,10,1,4,NA
B,4,Z4,11,3,NA,NA
B,4,Z4,12,2,NA,NA
B,5,Z1,1,2,4,4
B,5,Z1,2,1,2,4
B,5,Z1,3,2,4,4
B,5,Z1,4,2,NA,4
B,5,Z1,5,2,4,4
B,5,Z1,6,2,NA,4
B,5,Z1,7,3,4,NA
B,5,Z1,8,2,NA,NA
B,5,Z1,9,2,4,NA
B,5,Z1,10,2,3,4
B,5,Z1,11,2,4,4
B,5,Z1,12,2,4,NA
B,5,Z2,1,4,4,4
B,5,Z2,2,1,4,4
B,5,Z2,3,3,4,4
B,5,Z2,4,4,4,4
B,5,Z2,5,3,4,4
B,5,Z2,6,4,4,NA
B,5,Z2,7,1,4,NA
B,5,Z2,8,2,4,4
B,5,Z2,9,1,4,4
B,5,Z2,10,4,4,4
B,5,Z2,11,4,4,NA
B,5,Z2,12,3,NA,NA
B,5,Z3,1,4,NA,4
B,5,Z3,2,4,4,4
B,5,Z3,3,3,4,4
B,5,Z3,4,2,4,4
B,5,Z3,5,2,4,NA
B,5,Z3,6,3,4,4
B,5,Z3,7,2,4,4
B,5,Z3,8,1,NA,4
B,5,Z3,9,4,NA,4
B,5,Z3,10,4,4,4
B,5,Z3,11,2,NA,4
B,5,Z3,12,2,NA,4
B,5,Z4,1,4,NA,4
B,5,Z4,2,1,4,4
B,5,Z4,3,3,4,4
B,5,Z4,4,3,NA,4
B,5,Z4,5,4,4,NA
B,5,Z4,6,2,4,4
B,5,Z4,7,1,4,NA
B,5,Z4,8,4,4,4
B,5,Z4,9,4,4,4
B,5,Z4,10,3,NA,NA
B,5,Z4,11,4,NA,NA
B,5,Z4,12,1,4,4
C,2,Z1,1,4,4,4
C,2,Z2,1,4,4,4
C,2,Z3,1,4,4,4
C,2,Z4,1,4,4,4
C,3,Z1,1,4,4,4
C,3,Z2,1,4,4,4
C,3,Z3,1,4,4,4
C,3,Z4,1,4,4,4
C,4,Z1,1,4,4,4
C,4,Z2,1,4,4,4
C,4,Z3,1,4,4,4
C,4,Z4,1,4,4,4
C,5,Z1,1,4,4,4
C,5,Z2,1,4,4,4
C,5,Z3,1,4,4,4
C,5,Z4,1,4,4,4
D,2,Z1,1,2,4,4
D,2,Z1,2,2,4,4
D,2,Z1,3,2,4,4
D,2,Z1,4,2,4,NA
D,2,Z1,5,2,4,4
D,2,Z1,6,3,4,4
D,2,Z1,7,2,4,4
D,2,Z1,8,3,4,NA
D,2,Z1,9,2,4,NA
D,2,Z1,10,2,4,NA
D,2,Z1,11,3,4,NA
D,2,Z1,12,2,4,4
D,2,Z2,1,2,4,4
D,2,Z2,2,2,3,4
D,2,Z2,3,2,4,4
D,2,Z2,4,2,4,4
D,2,Z2,5,1,4,4
D,2,Z2,6,3,4,4
D,2,Z2,7,2,4,4
D,2,Z2,8,3,4,NA
D,2,Z2,9,2,4,4
D,2,Z2,10,2,4,4
D,2,Z2,11,2,4,4
D,2,Z2,12,2,4,4
D,2,Z3,1,1,3,4
D,2,Z3,2,1,3,4
D,2,Z3,3,1,4,4
D,2,Z3,4,2,4,4
D,2,Z3,5,2,4,4
D,2,Z3,6,2,4,4
D,2,Z3,7,2,4,4
D,2,Z3,8,1,4,4
D,2,Z3,9,2,4,4
D,2,Z3,10,1,4,4
D,2,Z3,11,1,3,4
D,2,Z3,12,1,4,4
D,2,Z4,1,3,4,4
D,2,Z4,2,2,4,4
D,2,Z4,3,2,4,4
D,2,Z4,4,2,4,4
D,2,Z4,5,3,4,4
D,2,Z4,6,3,4,4
D,2,Z4,7,3,4,4
D,2,Z4,8,4,4,4
D,2,Z4,9,3,4,4
D,2,Z4,10,2,4,4
D,2,Z4,11,3,4,4
D,2,Z4,12,2,4,4
D,3,Z1,1,1,4,4
D,3,Z1,2,1,4,4
D,3,Z1,3,1,4,4
D,3,Z1,4,1,4,4
D,3,Z1,5,1,3,4
D,3,Z1,6,1,4,4
D,3,Z1,7,1,4,4
D,3,Z1,8,1,4,4
D,3,Z1,9,1,4,4
D,3,Z1,10,1,3,4
D,3,Z1,11,1,4,4
D,3,Z1,12,1,4,4
D,3,Z2,1,3,4,4
D,3,Z2,2,3,4,4
D,3,Z2,3,3,4,4
D,3,Z2,4,2,4,4
D,3,Z2,5,2,4,4
D,3,Z2,6,3,4,4
D,3,Z2,7,1,4,4
D,3,Z2,8,2,4,4
D,3,Z2,9,2,4,4
D,3,Z2,10,2,3,4
D,3,Z2,11,3,4,4
D,3,Z2,12,2,4,4
D,3,Z3,1,1,4,4
D,3,Z3,2,1,4,4
D,3,Z3,3,1,4,4
D,3,Z3,4,2,4,4
D,3,Z3,5,1,4,4
D,3,Z3,6,1,4,4
D,3,Z3,7,1,4,4
D,3,Z3,8,1,3,4
D,3,Z3,9,1,4,4
D,3,Z3,10,1,4,4
D,3,Z3,11,1,3,4
D,3,Z3,12,1,4,4
D,3,Z4,1,1,4,4
D,3,Z4,2,1,3,4
D,3,Z4,3,1,4,4
D,3,Z4,4,1,3,4
D,3,Z4,5,1,3,4
D,3,Z4,6,1,3,4
D,3,Z4,7,1,4,4
D,3,Z4,8,1,4,4
D,3,Z4,9,1,4,4
D,3,Z4,10,1,2,4
D,3,Z4,11,1,2,4
D,3,Z4,12,1,4,4
D,4,Z1,1,1,4,4
D,4,Z1,2,1,3,4
D,4,Z1,3,1,3,4
D,4,Z1,4,1,4,4
D,4,Z1,5,1,4,4
D,4,Z1,6,1,3,4
D,4,Z1,7,1,2,4
D,4,Z1,8,1,4,4
D,4,Z1,9,1,4,4
D,4,Z1,10,1,4,4
D,4,Z1,11,1,2,4
D,4,Z1,12,1,3,4
D,4,Z2,1,4,4,4
D,4,Z2,2,2,4,4
D,4,Z2,3,3,3,4
D,4,Z2,4,3,4,4
D,4,Z2,5,2,4,4
D,4,Z2,6,2,3,4
D,4,Z2,7,4,4,4
D,4,Z2,8,2,4,4
D,4,Z2,9,1,4,4
D,4,Z2,10,3,3,4
D,4,Z2,11,2,3,4
D,4,Z2,12,2,3,4
D,4,Z3,1,3,4,4
D,4,Z3,2,3,4,4
D,4,Z3,3,2,4,4
D,4,Z3,4,3,4,4
D,4,Z3,5,2,4,4
D,4,Z3,6,2,4,4
D,4,Z3,7,4,4,4
D,4,Z3,8,3,4,4
D,4,Z3,9,3,4,4
D,4,Z3,10,2,4,4
D,4,Z3,11,2,4,4
D,4,Z3,12,1,3,4
D,4,Z4,1,2,4,4
D,4,Z4,2,1,4,4
D,4,Z4,3,1,4,4
D,4,Z4,4,1,4,4
D,4,Z4,5,1,4,4
D,4,Z4,6,1,4,4
D,4,Z4,7,1,4,4
D,4,Z4,8,1,4,4
D,4,Z4,9,1,4,4
D,4,Z4,10,1,4,4
D,4,Z4,11,1,4,4
D,4,Z4,12,1,4,4
D,5,Z1,1,3,4,4
D,5,Z1,2,1,4,4
D,5,Z1,3,1,4,4
D,5,Z1,4,2,4,4
D,5,Z1,5,2,4,4
D,5,Z1,6,1,4,4
D,5,Z1,7,1,4,4
D,5,Z1,8,2,4,4
D,5,Z1,9,2,4,4
D,5,Z1,10,1,3,4
D,5,Z1,11,2,4,4
D,5,Z1,12,1,4,4
D,5,Z2,1,2,4,4
D,5,Z2,2,2,4,4
D,5,Z2,3,2,4,4
D,5,Z2,4,2,4,4
D,5,Z2,5,3,4,4
D,5,Z2,6,2,4,4
D,5,Z2,7,2,4,4
D,5,Z2,8,3,4,4
D,5,Z2,9,2,4,4
D,5,Z2,10,2,4,4
D,5,Z2,11,2,4,4
D,5,Z2,12,3,4,4
D,5,Z3,1,1,4,4
D,5,Z3,2,1,4,4
D,5,Z3,3,1,4,4
D,5,Z3,4,1,4,4
D,5,Z3,5,1,4,4
D,5,Z3,6,1,4,4
D,5,Z3,7,1,2,4
D,5,Z3,8,1,4,4
D,5,Z3,9,1,4,4
D,5,Z3,10,1,2,4
D,5,Z3,11,2,4,4
D,5,Z3,12,1,4,4
D,5,Z4,1,2,4,4
D,5,Z4,2,2,4,4
D,5,Z4,3,2,4,4
D,5,Z4,4,3,4,4
D,5,Z4,5,3,4,4
D,5,Z4,6,3,4,4
D,5,Z4,7,3,4,4
D,5,Z4,8,4,4,4
D,5,Z4,9,4,4,4
D,5,Z4,10,2,4,4
D,5,Z4,11,3,4,4
D,5,Z4,12,3,4,4
E,2,Z1,1,4,4,4
E,2,Z1,2,2,4,4
E,2,Z1,3,2,4,NA
E,2,Z1,4,3,4,4
E,2,Z1,5,3,4,NA
E,2,Z1,6,2,4,NA
E,2,Z1,7,3,4,NA
E,2,Z1,8,2,4,NA
E,2,Z1,9,3,4,4
E,2,Z1,10,3,4,4
E,2,Z1,11,3,4,NA
E,2,Z1,12,3,4,4
E,2,Z2,1,3,4,4
E,2,Z2,2,2,4,4
E,2,Z2,3,2,4,4
E,2,Z2,4,4,4,4
E,2,Z2,5,2,3,NA
E,2,Z2,6,2,4,4
E,2,Z2,7,2,4,NA
E,2,Z2,8,2,4,NA
E,2,Z2,9,2,3,4
E,2,Z2,10,2,4,NA
E,2,Z2,11,2,4,NA
E,2,Z2,12,4,4,4
E,2,Z3,1,3,4,4
E,2,Z3,2,4,3,4
E,2,Z3,3,4,4,NA
E,2,Z3,4,3,3,4
E,2,Z3,5,4,3,4
E,2,Z3,6,4,4,4
E,2,Z3,7,4,4,4
E,2,Z3,8,3,2,4
E,2,Z3,9,4,3,4
E,2,Z3,10,4,2,4
E,2,Z3,11,4,4,4
E,2,Z3,12,4,4,4
E,2,Z4,1,2,4,4
E,2,Z4,2,2,3,4
E,2,Z4,3,2,4,4
E,2,Z4,4,2,4,4
E,2,Z4,5,2,4,NA
E,2,Z4,6,2,4,NA
E,2,Z4,7,2,3,4
E,2,Z4,8,2,4,NA
E,2,Z4,9,2,3,4
E,2,Z4,10,2,3,4
E,2,Z4,11,1,3,4
E,2,Z4,12,1,4,4
E,3,Z1,1,4,4,4
E,3,Z1,2,3,4,4
E,3,Z1,3,3,4,4
E,3,Z1,4,3,4,4
E,3,Z1,5,3,4,4
E,3,Z1,6,4,4,4
E,3,Z1,7,3,4,4
E,3,Z1,8,3,4,4
E,3,Z1,9,4,4,4
E,3,Z1,10,3,4,4
E,3,Z1,11,3,4,4
E,3,Z1,12,4,4,4
E,3,Z2,1,1,4,4
E,3,Z2,2,2,4,4
E,3,Z2,3,2,4,4
E,3,Z2,4,2,4,4
E,3,Z2,5,1,4,4
E,3,Z2,6,2,4,4
E,3,Z2,7,4,4,4
E,3,Z2,8,2,4,4
E,3,Z2,9,2,4,4
E,3,Z2,10,3,4,4
E,3,Z2,11,3,4,4
E,3,Z2,12,4,4,4
E,3,Z3,1,4,4,4
E,3,Z3,2,4,4,4
E,3,Z3,3,4,4,4
E,3,Z3,4,3,4,4
E,3,Z3,5,2,4,4
E,3,Z3,6,4,4,4
E,3,Z3,7,4,4,4
E,3,Z3,8,3,4,4
E,3,Z3,9,4,4,4
E,3,Z3,10,3,4,4
E,3,Z3,11,2,4,4
E,3,Z3,12,4,4,4
E,3,Z4,1,2,4,4
E,3,Z4,2,1,4,4
E,3,Z4,3,2,4,4
E,3,Z4,4,2,4,4
E,3,Z4,5,4,4,4
E,3,Z4,6,4,4,4
E,3,Z4,7,4,4,4
E,3,Z4,8,3,4,4
E,3,Z4,9,3,4,4
E,3,Z4,10,4,4,4
E,3,Z4,11,2,4,4
E,3,Z4,12,2,4,4
E,4,Z1,1,1,4,4
E,4,Z1,2,1,4,4
E,4,Z1,3,2,4,4
E,4,Z1,4,4,4,4
E,4,Z1,5,4,4,4
E,4,Z1,6,2,4,4
E,4,Z1,7,1,4,4
E,4,Z1,8,1,4,4
E,4,Z1,9,1,4,4
E,4,Z1,10,1,4,4
E,4,Z1,11,1,4,4
E,4,Z1,12,1,4,4
E,4,Z2,1,1,3,4
E,4,Z2,2,1,3,4
E,4,Z2,3,1,2,4
E,4,Z2,4,2,4,4
E,4,Z2,5,1,3,4
E,4,Z2,6,1,1,4
E,4,Z2,7,1,3,4
E,4,Z2,8,1,4,4
E,4,Z2,9,1,3,4
E,4,Z2,10,4,4,4
E,4,Z2,11,3,4,4
E,4,Z2,12,2,4,4
E,4,Z3,1,4,4,4
E,4,Z3,2,4,4,4
E,4,Z3,3,4,4,4
E,4,Z3,4,3,4,4
E,4,Z3,5,3,4,4
E,4,Z3,6,4,4,4
E,4,Z3,7,3,4,4
E,4,Z3,8,1,4,4
E,4,Z3,9,1,4,4
E,4,Z3,10,4,4,4
E,4,Z3,11,4,4,4
E,4,Z3,12,4,4,4
E,4,Z4,1,1,4,2
E,4,Z4,2,2,4,4
E,4,Z4,3,2,4,4
E,4,Z4,4,4,4,4
E,4,Z4,5,3,4,4
E,4,Z4,6,2,4,4
E,4,Z4,7,3,4,4
E,4,Z4,8,2,3,4
E,4,Z4,9,3,4,4
E,4,Z4,10,4,4,4
E,4,Z4,11,3,4,4
E,4,Z4,12,3,4,4
E,5,Z1,1,1,2,3
E,5,Z1,2,1,1,1
E,5,Z1,3,2,2,3
E,5,Z1,4,2,3,3
E,5,Z1,5,1,2,2
E,5,Z1,6,1,2,4
E,5,Z1,7,1,1,2
E,5,Z1,8,1,1,4
E,5,Z1,9,1,3,4
E,5,Z1,10,1,2,4
E,5,Z1,11,3,3,3
E,5,Z1,12,4,4,4
E,5,Z2,1,4,4,4
E,5,Z2,2,4,4,4
E,5,Z2,3,4,4,4
E,5,Z2,4,1,2,4
E,5,Z2,5,4,4,4
E,5,Z2,6,4,4,4
E,5,Z2,7,4,4,4
E,5,Z2,8,4,4,4
E,5,Z2,9,4,4,4
E,5,Z2,10,4,4,4
E,5,Z2,11,4,4,4
E,5,Z2,12,4,3,4
E,5,Z3,1,1,3,4
E,5,Z3,2,1,3,4
E,5,Z3,3,2,4,4
E,5,Z3,4,1,3,1
E,5,Z3,5,1,2,3
E,5,Z3,6,1,1,1
E,5,Z3,7,1,1,1
E,5,Z3,8,1,4,4
E,5,Z3,9,2,4,4
E,5,Z3,10,1,3,4
E,5,Z3,11,1,2,3
E,5,Z3,12,1,1,3
E,5,Z4,1,2,3,3
E,5,Z4,2,2,3,4
E,5,Z4,3,3,4,4
E,5,Z4,4,4,4,4
E,5,Z4,5,1,2,4
E,5,Z4,6,1,2,4
E,5,Z4,7,1,1,2
E,5,Z4,8,1,2,1
E,5,Z4,9,3,4,4
E,5,Z4,10,1,1,1
E,5,Z4,11,2,4,4
E,5,Z4,12,2,3,3
F,2,Z1,1,4,4,4
F,2,Z1,2,4,4,NA
F,2,Z1,3,4,NA,NA
F,2,Z1,4,4,NA,NA
F,2,Z1,5,4,NA,NA
F,2,Z1,6,4,NA,4
F,2,Z1,7,3,NA,4
F,2,Z1,8,3,4,NA
F,2,Z1,9,4,NA,NA
F,2,Z1,10,4,NA,NA
F,2,Z1,11,4,NA,NA
F,2,Z1,12,4,NA,4
F,2,Z2,1,4,NA,NA
F,2,Z2,2,4,NA,NA
F,2,Z2,3,4,NA,NA
F,2,Z2,4,4,NA,NA
F,2,Z2,5,4,NA,NA
F,2,Z2,6,4,NA,NA
F,2,Z2,7,4,NA,NA
F,2,Z2,8,4,NA,NA
F,2,Z2,9,4,NA,NA
F,2,Z2,10,3,NA,NA
F,2,Z2,11,2,NA,NA
F,2,Z2,12,4,NA,NA
F,2,Z3,1,3,2,4
F,2,Z3,2,4,NA,NA
F,2,Z3,3,4,NA,NA
F,2,Z3,4,4,NA,NA
F,2,Z3,5,4,NA,4
F,2,Z3,6,4,NA,NA
F,2,Z3,7,4,NA,NA
F,2,Z3,8,3,NA,NA
F,2,Z3,9,1,NA,NA
F,2,Z3,10,1,NA,NA
F,2,Z3,11,3,NA,NA
F,2,Z3,12,4,NA,4
F,2,Z4,1,2,NA,NA
F,2,Z4,2,1,NA,NA
F,2,Z4,3,2,NA,NA
F,2,Z4,4,2,NA,NA
F,2,Z4,5,1,NA,NA
F,2,Z4,6,1,1,NA
F,2,Z4,7,4,NA,4
F,2,Z4,8,4,NA,4
F,2,Z4,9,4,2,NA
F,2,Z4,10,3,2,NA
F,2,Z4,11,2,NA,NA
F,2,Z4,12,3,NA,NA
F,3,Z1,1,3,4,4
F,3,Z1,2,4,4,4
F,3,Z1,3,4,4,4
F,3,Z1,4,4,4,4
F,3,Z1,5,4,NA,NA
F,3,Z1,6,1,NA,NA
F,3,Z1,7,1,NA,3
F,3,Z1,8,1,3,4
F,3,Z1,9,2,3,4
F,3,Z1,10,2,4,4
F,3,Z1,11,4,4,4
F,3,Z1,12,4,4,NA
