 ID,Transect point,Grasses,Shrubs,Trees
A5Z3,9,25,85,N
A5Z3,10,45,80,100
A5Z3,11,60,90,N
A5Z3,12,30,95,100
,,,,
A5Z4,1,30,100,100
A5Z4,2,40,100,100
A5Z4,3,35,100,100
A5Z4,4,50,100,N
A5Z4,5,25,100,100
A5Z4,6,40,100,N
A5Z4,7,35,100,N
A5Z4,8,50,100,N
A5Z4,9,45,100,100
A5Z4,10,50,100,100
A5Z4,11,25,100,100
A5Z4,12,60,100,100
,,,,
B2Z1,1,90,90,100
B2Z1,2,0,N,N
B2Z1,3,0,N,N
B2Z1,4,25,N,N
B2Z1,5,10,N,N
B2Z1,6,20,N,N
B2Z1,7,20,N,N
B2Z1,8,0,N,N
B2Z1,9,20,N,N
B2Z1,10,0,N,N
B2Z1,11,50,N,N
B2Z1,12,20,90,N
,,,,
B2Z2,1,10,N,N
B2Z2,2,5,N,N
B2Z2,3,0,30,N
B2Z2,4,50,N,N
B2Z2,5,55,N,N
B2Z2,6,0,10,N
B2Z2,7,25,N,N
B2Z2,8,60,N,N
B2Z2,9,60,N,N
B2Z2,10,25,N,N
B2Z2,11,30,N,N
B2Z2,12,100,N,N
,,,,
B2Z3,1,70,100,N
B2Z3,2,100,N,N
B2Z3,3,30,N,N
B2Z3,4,35,N,N
B2Z3,5,80,N,N
B2Z3,6,20,N,N
B2Z3,7,100,N,N
B2Z3,8,50,N,N
B2Z3,9,10,90,N
B2Z3,10,50,N,N
B2Z3,11,50,N,N
B2Z3,12,10,N,N
,,,,
B2Z4,1,50,90,0
B2Z4,2,30,0,N
B2Z4,3,40,N,N
B2Z4,4,50,N,N
B2Z4,5,20,N,N
B2Z4,6,55,N,N
B2Z4,7,20,N,N
B2Z4,8,50,N,N
B2Z4,9,50,N,N
B2Z4,10,10,N,N
B2Z4,11,10,N,N
B2Z4,12,10,90,N
,,,,
B3Z1,1,90,100,100
B3Z1,2,95,N,N
B3Z1,3,10,90,100
B3Z1,4,30,N,N
B3Z1,5,20,80,N
B3Z1,6,10,90,100
B3Z1,7,20,100,N
B3Z1,8,30,90,N
B3Z1,9,40,100,N
B3Z1,10,75,N,N
B3Z1,11,40,N,N
B3Z1,12,60,N,N
,,,,
B3Z2,1,35,100,100
B3Z2,2,60,100,100
B3Z2,3,20,100,100
B3Z2,4,50,90,N
B3Z2,5,70,100,100
B3Z2,6,20,100,100
B3Z2,7,70,100,100
B3Z2,8,80,N,N
B3Z2,9,40,60,N
B3Z2,10,60,100,N
B3Z2,11,20,100,100
B3Z2,12,30, N,N
,,,,
B3Z3,1,40,100,100
B3Z3,2,80,N,N
B3Z3,3,20,N,90
B3Z3,4,90,100,100
B3Z3,5,95,N,N
B3Z3,6,80,100,100
B3Z3,7,40,N,90
B3Z3,8,25,50,N
B3Z3,9,50,N,N
B3Z3,10,40,80,N
B3Z3,11,25,N,N
B3Z3,12,45,100,N
,,,,
B3Z4,1,40,N,100
B3Z4,2,90,100,100
B3Z4,3,30,100,N
B3Z4,4,0,N,100
B3Z4,5,10,N,100
B3Z4,6,0,100,100
B3Z4,7,10,N,90
B3Z4,8,70,100,N
B3Z4,9,25,90,100
B3Z4,10,40,100,N
B3Z4,11,80,100,N
B3Z4,12,10,100,100
,,,,
B4Z1,1,30,N,100
B4Z1,2,20,85,100
B4Z1,3,40,N,N
B4Z1,4,45,75,100
B4Z1,5,25,85,N
B4Z1,6,0,N,100
B4Z1,7,0,85,100
B4Z1,8,0,100,75
B4Z1,9,25,N,100
B4Z1,10,20,100,80
B4Z1,11,10,100,N
B4Z1,12,20,80,95
,,,,
B4Z2,1,50,N,70
B4Z2,2,80,100,100
B4Z2,3,95,N,N
B4Z2,4,40,90,100
B4Z2,5,55,100,100
B4Z2,6,25,90,100
B4Z2,7,95,100,100
B4Z2,8,10,N,N
B4Z2,9,20,90,N
B4Z2,10,100,100,100
B4Z2,11,95,100,100
B4Z2,12,100,90,100
,,,,
B4Z3,1,20,90,100
B4Z3,2,0,55,70
B4Z3,3,0,40,N
B4Z3,4,10,90,N
B4Z3,5,15,85,100
B4Z3,6,10,N,100
B4Z3,7,10,N,N
B4Z3,8,10,100,N
B4Z3,9,30,N,N
B4Z3,10,30,N,N
B4Z3,11,30,90,100
B4Z3,12,10,N,90
,,,,
B4Z4,1,30,100,100
B4Z4,2,60,N,N
B4Z4,3,20,95,N
B4Z4,4,10,80,90
B4Z4,5,15,70,N
B4Z4,6,0,90,100
B4Z4,7,10,N,80
B4Z4,8,10,N,75
B4Z4,9,10,N,N
B4Z4,10,20,90,N
B4Z4,11,60,N,N
B4Z4,12,40,N,N
,,,,
B5Z1,1,25,100,90
B5Z1,2,20,30,100
B5Z1,3,40,95,90
B5Z1,4,50,N,100
B5Z1,5,35,90,80
B5Z1,6,25,N,100
B5Z1,7,55,100,N
B5Z1,8,35,N,N
B5Z1,9,30,90,N
B5Z1,10,30,65,100
B5Z1,11,40,100,100
B5Z1,12,30,95,N
,,,,
B5Z2,1,95,100,90
B5Z2,2,5,85,100
B5Z2,3,70,95,100
B5Z2,4,90,100,85
B5Z2,5,65,100,100
B5Z2,6,100,95,N
B5Z2,7,20,85,N
B5Z2,8,25,100,100
B5Z2,9,20,90,90
B5Z2,10,90,100,100
B5Z2,11,90,100,N
B5Z2,12,75,N,N
,,,,
B5Z3,1,90,N,100
B5Z3,2,85,100,100
B5Z3,3,60,95,100
B5Z3,4,65,90,100
B5Z3,5,50,100,N
B5Z3,6,60,90,100
B5Z3,7,30,90,90
B5Z3,8,10,N,90
B5Z3,9,100,N,100
B5Z3,10,85,100,100
B5Z3,11,50,N,90
B5Z3,12,30,N,80
,,,,
B5Z4,1,100,N,80
B5Z4,2,10,90,95
B5Z4,3,60,90,95
B5Z4,4,75,N,100
B5Z4,5,100,100,N
B5Z4,6,45,95,100
B5Z4,7,20,100,N
B5Z4,8,90,90,100
B5Z4,9,100,100,95
B5Z4,10,75,N,N
B5Z4,11,90,N,100
B5Z4,12,20,95,N
,,,,
D2Z1,1,35,85,100
D2Z1,2,40,100,100
D2Z1,3,35,80,100
D2Z1,4,50,100,N
D2Z1,5,25,90,100
D2Z1,6,55,90,100
D2Z1,7,35,90,100
D2Z1,8,70,90,N
D2Z1,9,45,95,100
D2Z1,10,45,80,100
D2Z1,11,55,85,100
D2Z1,12,50,95,100
,,,,
D2Z2,1,45,85,100
D2Z2,2,30,55,100
D2Z2,3,25,80,100
D2Z2,4,40,95,100
D2Z2,5,15,100,100
D2Z2,6,65,85,100
D2Z2,7,35,80,100
D2Z2,8,55,90,N
D2Z2,9,40,80,100
D2Z2,10,45,80,100
D2Z2,11,50,95,100
D2Z2,12,40,100,100
,,,,
D2Z3,1,10,70,95
D2Z3,2,20,65,100
D2Z3,3,15,90,100
D2Z3,4,25,85,80
D2Z3,5,30,95,90
D2Z3,6,25,100,90
D2Z3,7,25,95,90
D2Z3,8,15,90,90
D2Z3,9,40,85,95
D2Z3,10,10,90,80
D2Z3,11,10,75,85
D2Z3,12,20,85,85
,,,,
D2Z4,1,70,100,100
D2Z4,2,45,100,95
D2Z4,3,35,90,100
D2Z4,4,50,95,100
D2Z4,5,55,95,100
D2Z4,6,55,100,100
D2Z4,7,60,95,100
D2Z4,8,80,80,100
D2Z4,9,75,100,100
D2Z4,10,30,95,100
D2Z4,11,65,95,100
D2Z4,12,40,100,100
,,,,
D3Z1,1,10,95,85
D3Z1,2,10,100,100
D3Z1,3,10,80,90
D3Z1,4,10,90,80
D3Z1,5,20,60,100
D3Z1,6,5,85,90
D3Z1,7,10,80,80
D3Z1,8,5,85,90
D3Z1,9,5,80,95
D3Z1,10,15,75,85
D3Z1,11,15,100,100
D3Z1,12,5,85,85
,,,,
D3Z2,1,70,100,100
D3Z2,2,60,85,100
D3Z2,3,65,95,100
D3Z2,4,45,100,100
D3Z2,5,25,85,100
D3Z2,6,55,90,100
D3Z2,7,15,85,100
D3Z2,8,45,100,100
D3Z2,9,45,95,100
D3Z2,10,35,75,100
D3Z2,11,55,95,100
D3Z2,12,30,80,100
,,,,
D3Z3,1,20,100,100
D3Z3,2,15,90,100
D3Z3,3,10,80,100
D3Z3,4,35,85,100
D3Z3,5,10,85,100
D3Z3,6,10,80,100
D3Z3,7,5,95,100
D3Z3,8,10,70,100
D3Z3,9,20,85,100
D3Z3,10,10,90,100
D3Z3,11,15,75,100
D3Z3,12,20,90,100
,,,,
D3Z4,1,0,85,100
D3Z4,2,5,60,95
D3Z4,3,10,95,100
D3Z4,4,5,60,90
D3Z4,5,15,70,80
D3Z4,6,5,70,90
D3Z4,7,5,90,90
D3Z4,8,0,90,95
D3Z4,9,0,85,90
D3Z4,10,5,50,85
D3Z4,11,5,45,80
D3Z4,12,10,100,85
,,,,
D4Z1,1,15,100,100
D4Z1,2,15,60,90
D4Z1,3,15,70,100
D4Z1,4,10,85,90
D4Z1,5,20,95,100
D4Z1,6,5,60,90
D4Z1,7,0,50,80
D4Z1,8,10,90,95
D4Z1,9,0,85,85
D4Z1,10,15,90,95
D4Z1,11,5,45,80
D4Z1,12,10,70,85
,,,,
D4Z2,1,80,90,100
D4Z2,2,35,80,100
D4Z2,3,60,75,100
D4Z2,4,70,85,95
D4Z2,5,25,80,85
D4Z2,6,45,70,95
D4Z2,7,80,95,100
D4Z2,8,50,85,95
D4Z2,9,15,85,90
D4Z2,10,55,75,100
D4Z2,11,50,70,95
D4Z2,12,40,70,90
,,,,
D4Z3,1,70,100,100
D4Z3,2,55,95,100
D4Z3,3,45,95,95
D4Z3,4,70,100,100
D4Z3,5,25,80,95
D4Z3,6,30,95,95
D4Z3,7,80,100,95
D4Z3,8,60,95,95
D4Z3,9,55,95,95
D4Z3,10,40,90,90
D4Z3,11,50,85,95
D4Z3,12,20,60,85
,,,,
D4Z4,1,40,100,100
D4Z4,2,15,90,100
D4Z4,3,15,85,100
D4Z4,4,15,90,100
D4Z4,5,20,100,100
D4Z4,6,0,90,100
D4Z4,7,0,90,100
D4Z4,8,20,90,100
D4Z4,9,15,95,100
D4Z4,10,0,80,95
D4Z4,11,25,95,100
D4Z4,12,15,80,100
,,,,
D5Z1,1,60,100,100
D5Z1,2,20,85,95
D5Z1,3,20,80,90
D5Z1,4,50,100,100
D5Z1,5,40,95,100
D5Z1,6,15,90,95
D5Z1,7,15,80,90
D5Z1,8,40,100,100
D5Z1,9,35,95,95
D5Z1,10,20,75,80
D5Z1,11,35,95,100
D5Z1,12,10,80,100
,,,,
D5Z2,1,50,100,100
D5Z2,2,45,100,100
D5Z2,3,30,100,100
D5Z2,4,50,100,100
D5Z2,5,55,100,100
D5Z2,6,25,100,100
D5Z2,7,35,100,100
D5Z2,8,70,100,100
D5Z2,9,45,100,100
D5Z2,10,45,100,100
D5Z2,11,30,100,100
D5Z2,12,65,100,100
,,,,
D5Z3,1,10,85,90
D5Z3,2,15,95,90
D5Z3,3,20,100,100
D5Z3,4,35,100,100
D5Z3,5,20,95,100
D5Z3,6,10,80,95
D5Z3,7,0,40,85
D5Z3,8,15,95,100
D5Z3,9,15,95,90
D5Z3,10,0,50,90
D5Z3,11,30,100,100
D5Z3,12,15,85,95
,,,,
D5Z4,1,50,100,100
D5Z4,2,40,100,100
D5Z4,3,45,100,100
D5Z4,4,70,100,100
D5Z4,5,55,100,100
D5Z4,6,55,100,100
D5Z4,7,60,100,100
D5Z4,8,100,100,100
D5Z4,9,80,100,100
D5Z4,10,50,100,100
D5Z4,11,60,100,100
D5Z4,12,55,100,100
,,,,
E2Z1,1,100,100,100
E2Z1,2,35,80,100
E2Z1,3,50,90,N
E2Z1,4,70,100,100
E2Z1,5,60,95,N
E2Z1,6,50,100,N
E2Z1,7,60,95,N
E2Z1,8,50,80,N
E2Z1,9,60,100,100
E2Z1,10,70,100,100
E2Z1,11,60,100,N
E2Z1,12,55,95,100
,,,,
E2Z2,1,70,100,100
E2Z2,2,45,90,100
E2Z2,3,50,80,100
E2Z2,4,80,100,100
E2Z2,5,35,75,N
E2Z2,6,25,80,100
E2Z2,7,40,80,N
E2Z2,8,50,80,N
E2Z2,9,30,75,100
E2Z2,10,50,80,N
E2Z2,11,50,80,N
E2Z2,12,80,100,100
,,,,
E2Z3,1,70,100,100
E2Z3,2,90,70,95
E2Z3,3,85,90,H
E2Z3,4,65,60,90
E2Z3,5,90,60,95
E2Z3,6,85,85,95
E2Z3,7,90,90,95
E2Z3,8,70,45,95
E2Z3,9,80,70,95
E2Z3,10,75,50,90
E2Z3,11,80,85,95
E2Z3,12,85,95,95
,,,,
E2Z4,1,25,100,100
E2Z4,2,25,70,100
E2Z4,3,50,85,100
E2Z4,4,50,80,100
E2Z4,5,30,80,N
E2Z4,6,25,90,N
E2Z4,7,30,70,100
E2Z4,8,35,100,N
E2Z4,9,30,70,100
E2Z4,10,30,75,100
E2Z4,11,10,60,100
E2Z4,12,20,80,100
,,,,
E3Z1,1,85,100,100
E3Z1,2,70,100,100
E3Z1,3,65,100,100
E3Z1,4,65,100,100
E3Z1,5,75,100,100
E3Z1,6,80,100,100
E3Z1,7,75,100,100
E3Z1,8,75,100,100
E3Z1,9,80,100,100
E3Z1,10,70,100,100
E3Z1,11,75,100,100
E3Z1,12,80,100,100
,,,,
E3Z2,1,0,100,100
E3Z2,2,50,95,95
E3Z2,3,40,100,100
E3Z2,4,50,100,100
E3Z2,5,0,100,100
E3Z2,6,50,100,100
E3Z2,7,80,100,100
E3Z2,8,45,100,100
E3Z2,9,50,100,100
E3Z2,10,60,100,100
E3Z2,11,70,100,100
E3Z2,12,100,100,100
,,,,
E3Z3,1,100,100,100
E3Z3,2,100,100,100
E3Z3,3,100,100,100
E3Z3,4,70,100,100
E3Z3,5,30,100,100
E3Z3,6,85,100,100
E3Z3,7,100,100,100
E3Z3,8,70,100,100
E3Z3,9,100,100,100
E3Z3,10,75,100,100
E3Z3,11,30,100,100
E3Z3,12,100,100,100
,,,,
E3Z4,1,25,100,100
E3Z4,2,20,100,100
E3Z4,3,30,100,100
E3Z4,4,50,100,100
E3Z4,5,100,100,100
E3Z4,6,100,100,100
E3Z4,7,100,100,100
E3Z4,8,60,100,100
E3Z4,9,65,100,100
E3Z4,10,80,100,100
E3Z4,11,50,100,100
E3Z4,12,40,100,100
,,,,
E4Z1,1,0,90,100
E4Z1,2,20,90,100
E4Z1,3,50,100,100
E4Z1,4,80,100,100
E4Z1,5,100,100,100
E4Z1,6,40,100,100
E4Z1,7,15,100,100
E4Z1,8,20,90,100
E4Z1,9,20,95,100
E4Z1,10,15,100,100
E4Z1,11,0,80,100
E4Z1,12,0,90,100
,,,,
E4Z2,1,15,70,80
E4Z2,2,0,60,100
E4Z2,3,0,50,100
E4Z2,4,25,100,100
E4Z2,5,10,65,100
E4Z2,6,5,0,80
E4Z2,7,20,75,100
E4Z2,8,15,85,95
E4Z2,9,10,70,90
E4Z2,10,85,100,100
E4Z2,11,60,80,95
E4Z2,12,50,90,95
,,,,
E4Z3,1,100,100,100
E4Z3,2,100,100,100
E4Z3,3,80,95,100
E4Z3,4,60,90,100
E4Z3,5,70,90,100
E4Z3,6,80,90,100
E4Z3,7,60,95,100
E4Z3,8,0,80,100
E4Z3,9,0,100,100
E4Z3,10,100,100,100
E4Z3,11,100,100,100
E4Z3,12,90,100,100
,,,,
E4Z4,1,0,90,50
E4Z4,2,35,90,100
E4Z4,3,50,80,90
E4Z4,4,100,100,100
E4Z4,5,60,100,100
E4Z4,6,50,100,100
E4Z4,7,70,90,90
E4Z4,8,50,70,80
E4Z4,9,60,95,95
E4Z4,10,100,100,100
E4Z4,11,70,90,90
E4Z4,12,70,80,90
,,,,
E5Z1,1,0,30,65
E5Z1,2,0,0,0
E5Z1,3,25,50,65
E5Z1,4,50,60,60
E5Z1,5,20,40,50
E5Z1,6,20,30,80
E5Z1,7,10,0,50
E5Z1,8,15,0,80
E5Z1,9,30,60,80
E5Z1,10,20,50,80
E5Z1,11,70,60,70
E5Z1,12,100,100,100
,,,,
E5Z2,1,90,90,95
E5Z2,2,90,100,100
E5Z2,3,100,100,100
E5Z2,4,0,50,80
E5Z2,5,95,90,90
E5Z2,6,80,90,95
E5Z2,7,95,95,95
E5Z2,8,100,100,100
E5Z2,9,90,90,100
E5Z2,10,95,100,100
E5Z2,11,95,100,100
E5Z2,12,85,70,80
,,,,
E5Z3,1,0,55,80
E5Z3,2,10,70,100
E5Z3,3,25,95,100
E5Z3,4,10,60,0
E5Z3,5,0,30,55
E5Z3,6,0,0,0
E5Z3,7,5,0,0
E5Z3,8,15,90,100
E5Z3,9,40,100,100
E5Z3,10,10,75,100
E5Z3,11,5,50,70
E5Z3,12,0,0,70
,,,,
E5Z4,1,30,55,70
E5Z4,2,50,70,90
E5Z4,3,60,90,100
E5Z4,4,80,90,100
E5Z4,5,0,30,90
E5Z4,6,0,50,90
E5Z4,7,0,0,40
E5Z4,8,0,40,0
E5Z4,9,60,100,100
E5Z4,10,10,0,0
E5Z4,11,40,80,95
E5Z4,12,30,60,70
,,,,
F2Z1,1,85,90,100
F2Z1,2,80,90,N
F2Z1,3,100,N,N
F2Z1,4,90,N,N
F2Z1,5,100,N,N
F2Z1,6,95,N,100
F2Z1,7,70,N,100
F2Z1,8,60,90,N
F2Z1,9,90,N,N
F2Z1,10,80,N,N
F2Z1,11,75,N,N
F2Z1,12,100,N,100
,,,,
F2Z2,1,100,N,N
F2Z2,2,100,N,N
F2Z2,3,100,N,N
F2Z2,4,95,N,N
F2Z2,5,80,N,N
F2Z2,6,80,N,N
F2Z2,7,80,N,N
F2Z2,8,100,N,N
F2Z2,9,90,N,N
F2Z2,10,60,N,N
F2Z2,11,50,N,N
F2Z2,12,85,N,N
,,,,
F2Z3,1,70,30,100
F2Z3,2,100,N,N
F2Z3,3,100,N,N
F2Z3,4,100,N,N
F2Z3,5,100,N,100
F2Z3,6,80,N,N
F2Z3,7,80,N,N
F2Z3,8,70,N,N
F2Z3,9,0,N,N
F2Z3,10,0,N,N
F2Z3,11,60,N,N
F2Z3,12,80,N,100
,,,,
F2Z4,1,55,N,N
F2Z4,2,,N,N
F2Z4,3,,N,N
F2Z4,4,,N,N
F2Z4,5,,N,N
F2Z4,6,,20,N
F2Z4,7,,N,100
F2Z4,8,,N,100
F2Z4,9,,30,N
F2Z4,10,,40,N
F2Z4,11,,N,N
F2Z4,12,,N,N
,,,,
F3Z1,1,60,85,90
F3Z1,2,100,100,100
F3Z1,3,100,100,100
F3Z1,4,90,100,100
F3Z1,5,80,N,N
F3Z1,6,20,N,N
F3Z1,7,0,N,60
F3Z1,8,0,70,90
F3Z1,9,40,70,90
F3Z1,10,50,80,90
F3Z1,11,100,80,90
F3Z1,12,80,80,N
,,,,
F3Z2,1,5,0,20
F3Z2,2,0,0,0
F3Z2,3,0,0,10
F3Z2,4,0,N,N
F3Z2,5,0,N,N
F3Z2,6,10,N,100
F3Z2,7,5,60,70
F3Z2,8,5,70,80
F3Z2,9,5,70,70
F3Z2,10,0,0,N
F3Z2,11,20,40,N
F3Z2,12,5,30,50
,,,,
F3Z3,1,0,N,70
F3Z3,2,0,50,100
F3Z3,3,10,60,100
F3Z3,4,0,N,N
F3Z3,5,50,90,100
F3Z3,6,40,70,N
F3Z3,7,0,10,60
F3Z3,8,0,60,N
F3Z3,9,0,40,0
F3Z3,10,15,60,N
F3Z3,11,50,100,100
F3Z3,12,20,N,70
,,,,
F3Z4,1,60,70,90
F3Z4,2,0,80,100
F3Z4,3,0,0,20
F3Z4,4,10,50,100
F3Z4,5,20,60,100
F3Z4,6,100,100,100
F3Z4,7,80,100,90
F3Z4,8,50,90,90
F3Z4,9,30,60,95
F3Z4,10,40,70,100
F3Z4,11,50,90,100
F3Z4,12,40,70,90
,,,,
F4Z1,1,40,100,90
F4Z1,2,10,90,100
F4Z1,3,10,60,100
F4Z1,4,30,80,100
F4Z1,5,5,30,90
F4Z1,6,5,100,100
F4Z1,7,0,80,95
F4Z1,8,0,0,20
F4Z1,9,0,0,90
F4Z1,10,70,100,100
F4Z1,11,50,100,100
F4Z1,12,20,100,100
,,,,
F4Z2,1,5,50,80
F4Z2,2,10,0,50
F4Z2,3,20,40,70
F4Z2,4,30,80,80
F4Z2,5,80,100,100
F4Z2,6,5,20,70
F4Z2,7,15,30,70
F4Z2,8,20,40,80
F4Z2,9,50,70,100
F4Z2,10,40,50,90
F4Z2,11,50,80,100
F4Z2,12,30,40,70
,,,,
F4Z3,1,60,85,100
F4Z3,2,60,100,100
F4Z3,3,50,100,100
F4Z3,4,70,90,95
F4Z3,5,60,100,90
F4Z3,6,100,100,90
F4Z3,7,80,50,80
F4Z3,8,100,100,100
F4Z3,9,0,50,95
F4Z3,10,40,80,95
F4Z3,11,50,70,90
F4Z3,12,50,100,100
,,,,
F4Z4,1,100,100,100
F4Z4,2,100,100,100
F4Z4,3,90,90,100
F4Z4,4,50,80,90
F4Z4,5,90,75,90
F4Z4,6,95,100,100
F4Z4,7,30,70,90
F4Z4,8,10,80,95
F4Z4,9,20,80,95
F4Z4,10,10,50,95
F4Z4,11,0,0,40
F4Z4,12,0,75,90
,,,,
F5Z1,1,70,100,100
F5Z1,2,80,100,100
F5Z1,3,60,100,100
F5Z1,4,70,100,100
F5Z1,5,90,100,N
F5Z1,6,80,100,N
F5Z1,7,80,100,100
F5Z1,8,60,100,100
F5Z1,9,40,100,100
F5Z1,10,50,100,100
F5Z1,11,90,100,N
F5Z1,12,70,100,100
,,,,
F5Z2,1,80,85,100
F5Z2,2,50,80,100
F5Z2,3,60,75,100
F5Z2,4,20,70,N
F5Z2,5,40,80,100
F5Z2,6,40,90,100
F5Z2,7,60,95,N
F5Z2,8,50,65,100
F5Z2,9,50,85,100
F5Z2,10,70,75,100
F5Z2,11,40,90,100
F5Z2,12,40,70,100
,,,,
F5Z3,1,20,90,100
F5Z3,2,20,100,100
F5Z3,3,30,100,100
F5Z3,4,50,95,95
F5Z3,5,60,90,90
F5Z3,6,70,80,90
F5Z3,7,20,60,80
F5Z3,8,10,70,90
F5Z3,9,0,30,95
F5Z3,10,0,50,95
F5Z3,11,100,100,100
F5Z3,12,100,100,100
,,,,
F5Z4,1,100,100,100
F5Z4,2,100,100,100
F5Z4,3,100,100,100
F5Z4,4,70,100,100
F5Z4,5,90,100,100
F5Z4,6,50,100,100
F5Z4,7,20,100,100
F5Z4,8,40,100,100
F5Z4,9,30,100,100
F5Z4,10,50,100,100
F5Z4,11,20,100,100
F5Z4,12,50,100,100
