SITE,PLOT,SUBPLOT,Transect point,Grasses,Shrubs,Trees
A,5,Z3,2,30,85,NA
A,5,Z3,3,75,85,100
A,5,Z3,4,50,90,100
A,5,Z3,5,25,80,100
A,5,Z3,6,65,80,NA
A,5,Z3,7,80,60,NA
A,5,Z3,8,50,90,100
A,5,Z3,9,25,85,NA
A,5,Z3,10,45,80,100
A,5,Z3,11,60,90,NA
A,5,Z3,12,30,95,100
A,5,Z4,1,30,100,100
A,5,Z4,2,40,100,100
A,5,Z4,3,35,100,100
A,5,Z4,4,50,100,NA
A,5,Z4,5,25,100,100
A,5,Z4,6,40,100,NA
A,5,Z4,7,35,100,NA
A,5,Z4,8,50,100,NA
A,5,Z4,9,45,100,100
A,5,Z4,10,50,100,100
A,5,Z4,11,25,100,100
A,5,Z4,12,60,100,100
B,2,Z1,1,90,90,100
B,2,Z1,2,0,NA,NA
B,2,Z1,3,0,NA,NA
B,2,Z1,4,25,NA,NA
B,2,Z1,5,10,NA,NA
B,2,Z1,6,20,NA,NA
B,2,Z1,7,20,NA,NA
B,2,Z1,8,0,NA,NA
B,2,Z1,9,20,NA,NA
B,2,Z1,10,0,NA,NA
B,2,Z1,11,50,NA,NA
B,2,Z1,12,20,90,NA
B,2,Z2,1,10,NA,NA
B,2,Z2,2,5,NA,NA
B,2,Z2,3,0,30,NA
B,2,Z2,4,50,NA,NA
B,2,Z2,5,55,NA,NA
B,2,Z2,6,0,10,NA
B,2,Z2,7,25,NA,NA
B,2,Z2,8,60,NA,NA
B,2,Z2,9,60,NA,NA
B,2,Z2,10,25,NA,NA
B,2,Z2,11,30,NA,NA
B,2,Z2,12,100,NA,NA
B,2,Z3,1,70,100,NA
B,2,Z3,2,100,NA,NA
B,2,Z3,3,30,NA,NA
B,2,Z3,4,35,NA,NA
B,2,Z3,5,80,NA,NA
B,2,Z3,6,20,NA,NA
B,2,Z3,7,100,NA,NA
B,2,Z3,8,50,NA,NA
B,2,Z3,9,10,90,NA
B,2,Z3,10,50,NA,NA
B,2,Z3,11,50,NA,NA
B,2,Z3,12,10,NA,NA
B,2,Z4,1,50,90,0
B,2,Z4,2,30,0,NA
B,2,Z4,3,40,NA,NA
B,2,Z4,4,50,NA,NA
B,2,Z4,5,20,NA,NA
B,2,Z4,6,55,NA,NA
B,2,Z4,7,20,NA,NA
B,2,Z4,8,50,NA,NA
B,2,Z4,9,50,NA,NA
B,2,Z4,10,10,NA,NA
B,2,Z4,11,10,NA,NA
B,2,Z4,12,10,90,NA
B,3,Z1,1,90,100,100
B,3,Z1,2,95,NA,NA
B,3,Z1,3,10,90,100
B,3,Z1,4,30,NA,NA
B,3,Z1,5,20,80,NA
B,3,Z1,6,10,90,100
B,3,Z1,7,20,100,NA
B,3,Z1,8,30,90,NA
B,3,Z1,9,40,100,NA
B,3,Z1,10,75,NA,NA
B,3,Z1,11,40,NA,NA
B,3,Z1,12,60,NA,NA
B,3,Z2,1,35,100,100
B,3,Z2,2,60,100,100
B,3,Z2,3,20,100,100
B,3,Z2,4,50,90,NA
B,3,Z2,5,70,100,100
B,3,Z2,6,20,100,100
B,3,Z2,7,70,100,100
B,3,Z2,8,80,NA,NA
B,3,Z2,9,40,60,NA
B,3,Z2,10,60,100,NA
B,3,Z2,11,20,100,100
B,3,Z2,12,30, NA,NA
B,3,Z3,1,40,100,100
B,3,Z3,2,80,NA,NA
B,3,Z3,3,20,NA,90
B,3,Z3,4,90,100,100
B,3,Z3,5,95,NA,NA
B,3,Z3,6,80,100,100
B,3,Z3,7,40,NA,90
B,3,Z3,8,25,50,NA
B,3,Z3,9,50,NA,NA
B,3,Z3,10,40,80,NA
B,3,Z3,11,25,NA,NA
B,3,Z3,12,45,100,NA
B,3,Z4,1,40,NA,100
B,3,Z4,2,90,100,100
B,3,Z4,3,30,100,NA
B,3,Z4,4,0,NA,100
B,3,Z4,5,10,NA,100
B,3,Z4,6,0,100,100
B,3,Z4,7,10,NA,90
B,3,Z4,8,70,100,NA
B,3,Z4,9,25,90,100
B,3,Z4,10,40,100,NA
B,3,Z4,11,80,100,NA
B,3,Z4,12,10,100,100
B,4,Z1,1,30,NA,100
B,4,Z1,2,20,85,100
B,4,Z1,3,40,NA,NA
B,4,Z1,4,45,75,100
B,4,Z1,5,25,85,NA
B,4,Z1,6,0,NA,100
B,4,Z1,7,0,85,100
B,4,Z1,8,0,100,75
B,4,Z1,9,25,NA,100
B,4,Z1,10,20,100,80
B,4,Z1,11,10,100,NA
B,4,Z1,12,20,80,95
B,4,Z2,1,50,NA,70
B,4,Z2,2,80,100,100
B,4,Z2,3,95,NA,NA
B,4,Z2,4,40,90,100
B,4,Z2,5,55,100,100
B,4,Z2,6,25,90,100
B,4,Z2,7,95,100,100
B,4,Z2,8,10,NA,NA
B,4,Z2,9,20,90,NA
B,4,Z2,10,100,100,100
B,4,Z2,11,95,100,100
B,4,Z2,12,100,90,100
B,4,Z3,1,20,90,100
B,4,Z3,2,0,55,70
B,4,Z3,3,0,40,NA
B,4,Z3,4,10,90,NA
B,4,Z3,5,15,85,100
B,4,Z3,6,10,NA,100
B,4,Z3,7,10,NA,NA
B,4,Z3,8,10,100,NA
B,4,Z3,9,30,NA,NA
B,4,Z3,10,30,NA,NA
B,4,Z3,11,30,90,100
B,4,Z3,12,10,NA,90
B,4,Z4,1,30,100,100
B,4,Z4,2,60,NA,NA
B,4,Z4,3,20,95,NA
B,4,Z4,4,10,80,90
B,4,Z4,5,15,70,NA
B,4,Z4,6,0,90,100
B,4,Z4,7,10,NA,80
B,4,Z4,8,10,NA,75
B,4,Z4,9,10,NA,NA
B,4,Z4,10,20,90,NA
B,4,Z4,11,60,NA,NA
B,4,Z4,12,40,NA,NA
B,5,Z1,1,25,100,90
B,5,Z1,2,20,30,100
B,5,Z1,3,40,95,90
B,5,Z1,4,50,NA,100
B,5,Z1,5,35,90,80
B,5,Z1,6,25,NA,100
B,5,Z1,7,55,100,NA
B,5,Z1,8,35,NA,NA
B,5,Z1,9,30,90,NA
B,5,Z1,10,30,65,100
B,5,Z1,11,40,100,100
B,5,Z1,12,30,95,NA
B,5,Z2,1,95,100,90
B,5,Z2,2,5,85,100
B,5,Z2,3,70,95,100
B,5,Z2,4,90,100,85
B,5,Z2,5,65,100,100
B,5,Z2,6,100,95,NA
B,5,Z2,7,20,85,NA
B,5,Z2,8,25,100,100
B,5,Z2,9,20,90,90
B,5,Z2,10,90,100,100
B,5,Z2,11,90,100,NA
B,5,Z2,12,75,NA,NA
B,5,Z3,1,90,NA,100
B,5,Z3,2,85,100,100
B,5,Z3,3,60,95,100
B,5,Z3,4,65,90,100
B,5,Z3,5,50,100,NA
B,5,Z3,6,60,90,100
B,5,Z3,7,30,90,90
B,5,Z3,8,10,NA,90
B,5,Z3,9,100,NA,100
B,5,Z3,10,85,100,100
B,5,Z3,11,50,NA,90
B,5,Z3,12,30,NA,80
B,5,Z4,1,100,NA,80
B,5,Z4,2,10,90,95
B,5,Z4,3,60,90,95
B,5,Z4,4,75,NA,100
B,5,Z4,5,100,100,NA
B,5,Z4,6,45,95,100
B,5,Z4,7,20,100,NA
B,5,Z4,8,90,90,100
B,5,Z4,9,100,100,95
B,5,Z4,10,75,NA,NA
B,5,Z4,11,90,NA,NA
B,5,Z4,12,20,95,100
C,2,Z1,1,0,0,0
C,2,Z2,1,0,0,0
C,2,Z3,1,0,0,0
C,2,Z4,1,0,0,0
C,3,Z1,1,0,0,0
C,3,Z2,1,0,0,0
C,3,Z3,1,0,0,0
C,3,Z4,1,0,0,0
C,4,Z1,1,0,0,0
C,4,Z2,1,0,0,0
C,4,Z3,1,0,0,0
C,4,Z4,1,0,0,0
C,5,Z1,1,0,0,0
C,5,Z2,1,0,0,0
C,5,Z3,1,0,0,0
C,5,Z4,1,0,0,0
D,2,Z1,1,35,85,100
D,2,Z1,2,40,100,100
D,2,Z1,3,35,80,100
D,2,Z1,4,50,100,NA
D,2,Z1,5,25,90,100
D,2,Z1,6,55,90,100
D,2,Z1,7,35,90,100
D,2,Z1,8,70,90,NA
D,2,Z1,9,45,95,NA
D,2,Z1,10,45,80,NA
D,2,Z1,11,55,85,NA
D,2,Z1,12,50,95,100
D,2,Z2,1,45,85,100
D,2,Z2,2,30,55,100
D,2,Z2,3,25,80,100
D,2,Z2,4,40,95,100
D,2,Z2,5,15,100,100
D,2,Z2,6,65,85,100
D,2,Z2,7,35,80,100
D,2,Z2,8,55,90,NA
D,2,Z2,9,40,80,100
D,2,Z2,10,45,80,100
D,2,Z2,11,50,95,100
D,2,Z2,12,40,100,100
D,2,Z3,1,10,70,95
D,2,Z3,2,20,65,100
D,2,Z3,3,15,90,100
D,2,Z3,4,25,85,80
D,2,Z3,5,30,95,90
D,2,Z3,6,25,100,90
D,2,Z3,7,25,95,90
D,2,Z3,8,15,90,90
D,2,Z3,9,40,85,95
D,2,Z3,10,10,90,80
D,2,Z3,11,10,75,85
D,2,Z3,12,20,85,85
D,2,Z4,1,70,100,100
D,2,Z4,2,45,100,95
D,2,Z4,3,35,90,100
D,2,Z4,4,50,95,100
D,2,Z4,5,55,95,100
D,2,Z4,6,55,100,100
D,2,Z4,7,60,95,100
D,2,Z4,8,80,80,100
D,2,Z4,9,75,100,100
D,2,Z4,10,30,95,100
D,2,Z4,11,65,95,100
D,2,Z4,12,40,100,100
D,3,Z1,1,10,95,85
D,3,Z1,2,10,100,100
D,3,Z1,3,10,80,90
D,3,Z1,4,10,90,80
D,3,Z1,5,20,60,100
D,3,Z1,6,5,85,90
D,3,Z1,7,10,80,80
D,3,Z1,8,5,85,90
D,3,Z1,9,5,80,95
D,3,Z1,10,15,75,85
D,3,Z1,11,15,100,100
D,3,Z1,12,5,85,85
D,3,Z2,1,70,100,100
D,3,Z2,2,60,85,100
D,3,Z2,3,65,95,100
D,3,Z2,4,45,100,100
D,3,Z2,5,25,85,100
D,3,Z2,6,55,90,100
D,3,Z2,7,15,85,100
D,3,Z2,8,45,100,100
D,3,Z2,9,45,95,100
D,3,Z2,10,35,75,100
D,3,Z2,11,55,95,100
D,3,Z2,12,30,80,100
D,3,Z3,1,20,100,100
D,3,Z3,2,15,90,100
D,3,Z3,3,10,80,100
D,3,Z3,4,35,85,100
D,3,Z3,5,10,85,100
D,3,Z3,6,10,80,100
D,3,Z3,7,5,95,100
D,3,Z3,8,10,70,100
D,3,Z3,9,20,85,100
D,3,Z3,10,10,90,100
D,3,Z3,11,15,75,100
D,3,Z3,12,20,90,100
D,3,Z4,1,0,85,100
D,3,Z4,2,5,60,95
D,3,Z4,3,10,95,100
D,3,Z4,4,5,60,90
D,3,Z4,5,15,70,80
D,3,Z4,6,5,70,90
D,3,Z4,7,5,90,90
D,3,Z4,8,0,90,95
D,3,Z4,9,0,85,90
D,3,Z4,10,5,50,85
D,3,Z4,11,5,45,80
D,3,Z4,12,10,100,85
D,4,Z1,1,15,100,100
D,4,Z1,2,15,60,90
D,4,Z1,3,15,70,100
D,4,Z1,4,10,85,90
D,4,Z1,5,20,95,100
D,4,Z1,6,5,60,90
D,4,Z1,7,0,50,80
D,4,Z1,8,10,90,95
D,4,Z1,9,0,85,85
D,4,Z1,10,15,90,95
D,4,Z1,11,5,45,80
D,4,Z1,12,10,70,85
D,4,Z2,1,80,90,100
D,4,Z2,2,35,80,100
D,4,Z2,3,60,75,100
D,4,Z2,4,70,85,95
D,4,Z2,5,25,80,85
D,4,Z2,6,45,70,95
D,4,Z2,7,80,95,100
D,4,Z2,8,50,85,95
D,4,Z2,9,15,85,90
D,4,Z2,10,55,75,100
D,4,Z2,11,50,70,95
D,4,Z2,12,40,70,90
D,4,Z3,1,70,100,100
D,4,Z3,2,55,95,100
D,4,Z3,3,45,95,95
D,4,Z3,4,70,100,100
D,4,Z3,5,25,80,95
D,4,Z3,6,30,95,95
D,4,Z3,7,80,100,95
D,4,Z3,8,60,95,95
D,4,Z3,9,55,95,95
D,4,Z3,10,40,90,90
D,4,Z3,11,50,85,95
D,4,Z3,12,20,60,85
D,4,Z4,1,40,100,100
D,4,Z4,2,15,90,100
D,4,Z4,3,15,85,100
D,4,Z4,4,15,90,100
D,4,Z4,5,20,100,100
D,4,Z4,6,0,90,100
D,4,Z4,7,0,90,100
D,4,Z4,8,20,90,100
D,4,Z4,9,15,95,100
D,4,Z4,10,0,80,95
D,4,Z4,11,25,95,100
D,4,Z4,12,15,80,100
D,5,Z1,1,60,100,100
D,5,Z1,2,20,85,95
D,5,Z1,3,20,80,90
D,5,Z1,4,50,100,100
D,5,Z1,5,40,95,100
D,5,Z1,6,15,90,95
D,5,Z1,7,15,80,90
D,5,Z1,8,40,100,100
D,5,Z1,9,35,95,95
D,5,Z1,10,20,75,80
D,5,Z1,11,35,95,100
D,5,Z1,12,10,80,100
D,5,Z2,1,50,100,100
D,5,Z2,2,45,100,100
D,5,Z2,3,30,100,100
D,5,Z2,4,50,100,100
D,5,Z2,5,55,100,100
D,5,Z2,6,25,100,100
D,5,Z2,7,35,100,100
D,5,Z2,8,70,100,100
D,5,Z2,9,45,100,100
D,5,Z2,10,45,100,100
D,5,Z2,11,30,100,100
D,5,Z2,12,65,100,100
D,5,Z3,1,10,85,90
D,5,Z3,2,15,95,90
D,5,Z3,3,20,100,100
D,5,Z3,4,35,100,100
D,5,Z3,5,20,95,100
D,5,Z3,6,10,80,95
D,5,Z3,7,0,40,85
D,5,Z3,8,15,95,100
D,5,Z3,9,15,95,90
D,5,Z3,10,0,50,90
D,5,Z3,11,30,100,100
D,5,Z3,12,15,85,95
D,5,Z4,1,50,100,100
D,5,Z4,2,40,100,100
D,5,Z4,3,45,100,100
D,5,Z4,4,70,100,100
D,5,Z4,5,55,100,100
D,5,Z4,6,55,100,100
D,5,Z4,7,60,100,100
D,5,Z4,8,100,100,100
D,5,Z4,9,80,100,100
D,5,Z4,10,50,100,100
D,5,Z4,11,60,100,100
D,5,Z4,12,55,100,100
E,2,Z1,1,100,100,100
E,2,Z1,2,35,80,100
E,2,Z1,3,50,90,NA
E,2,Z1,4,70,100,100
E,2,Z1,5,60,95,NA
E,2,Z1,6,50,100,NA
E,2,Z1,7,60,95,NA
E,2,Z1,8,50,80,NA
E,2,Z1,9,60,100,100
E,2,Z1,10,70,100,100
E,2,Z1,11,60,100,NA
E,2,Z1,12,55,95,100
E,2,Z2,1,70,100,100
E,2,Z2,2,45,90,100
E,2,Z2,3,50,80,100
E,2,Z2,4,80,100,100
E,2,Z2,5,35,75,NA
E,2,Z2,6,25,80,100
E,2,Z2,7,40,80,NA
E,2,Z2,8,50,80,NA
E,2,Z2,9,30,75,100
E,2,Z2,10,50,80,NA
E,2,Z2,11,50,80,NA
E,2,Z2,12,80,100,100
E,2,Z3,1,70,100,100
E,2,Z3,2,90,70,95
E,2,Z3,3,85,90,NA
E,2,Z3,4,65,60,90
E,2,Z3,5,90,60,95
E,2,Z3,6,85,85,95
E,2,Z3,7,90,90,95
E,2,Z3,8,70,45,95
E,2,Z3,9,80,70,95
E,2,Z3,10,75,50,90
E,2,Z3,11,80,85,95
E,2,Z3,12,85,95,95
E,2,Z4,1,25,100,100
E,2,Z4,2,25,70,100
E,2,Z4,3,50,85,100
E,2,Z4,4,50,80,100
E,2,Z4,5,30,80,NA
E,2,Z4,6,25,90,NA
E,2,Z4,7,30,70,100
E,2,Z4,8,35,100,NA
E,2,Z4,9,30,70,100
E,2,Z4,10,30,75,100
E,2,Z4,11,10,60,100
E,2,Z4,12,20,80,100
E,3,Z1,1,85,100,100
E,3,Z1,2,70,100,100
E,3,Z1,3,65,100,100
E,3,Z1,4,65,100,100
E,3,Z1,5,75,100,100
E,3,Z1,6,80,100,100
E,3,Z1,7,75,100,100
E,3,Z1,8,75,100,100
E,3,Z1,9,80,100,100
E,3,Z1,10,70,100,100
E,3,Z1,11,75,100,100
E,3,Z1,12,80,100,100
E,3,Z2,1,0,100,100
E,3,Z2,2,50,95,95
E,3,Z2,3,40,100,100
E,3,Z2,4,50,100,100
E,3,Z2,5,0,100,100
E,3,Z2,6,50,100,100
E,3,Z2,7,80,100,100
E,3,Z2,8,45,100,100
E,3,Z2,9,50,100,100
E,3,Z2,10,60,100,100
E,3,Z2,11,70,100,100
E,3,Z2,12,100,100,100
E,3,Z3,1,100,100,100
E,3,Z3,2,100,100,100
E,3,Z3,3,100,100,100
E,3,Z3,4,70,100,100
E,3,Z3,5,30,100,100
E,3,Z3,6,85,100,100
E,3,Z3,7,100,100,100
E,3,Z3,8,70,100,100
E,3,Z3,9,100,100,100
E,3,Z3,10,75,100,100
E,3,Z3,11,30,100,100
E,3,Z3,12,100,100,100
E,3,Z4,1,25,100,100
E,3,Z4,2,20,100,100
E,3,Z4,3,30,100,100
E,3,Z4,4,50,100,100
E,3,Z4,5,100,100,100
E,3,Z4,6,100,100,100
E,3,Z4,7,100,100,100
E,3,Z4,8,60,100,100
E,3,Z4,9,65,100,100
E,3,Z4,10,80,100,100
E,3,Z4,11,50,100,100
E,3,Z4,12,40,100,100
E,4,Z1,1,0,90,100
E,4,Z1,2,20,90,100
E,4,Z1,3,50,100,100
E,4,Z1,4,80,100,100
E,4,Z1,5,100,100,100
E,4,Z1,6,40,100,100
E,4,Z1,7,15,100,100
E,4,Z1,8,20,90,100
E,4,Z1,9,20,95,100
E,4,Z1,10,15,100,100
E,4,Z1,11,0,80,100
E,4,Z1,12,0,90,100
E,4,Z2,1,15,70,80
E,4,Z2,2,0,60,100
E,4,Z2,3,0,50,100
E,4,Z2,4,25,100,100
E,4,Z2,5,10,65,100
E,4,Z2,6,5,0,80
E,4,Z2,7,20,75,100
E,4,Z2,8,15,85,95
E,4,Z2,9,10,70,90
E,4,Z2,10,85,100,100
E,4,Z2,11,60,80,95
E,4,Z2,12,50,90,95
E,4,Z3,1,100,100,100
E,4,Z3,2,100,100,100
E,4,Z3,3,80,95,100
E,4,Z3,4,60,90,100
E,4,Z3,5,70,90,100
E,4,Z3,6,80,90,100
E,4,Z3,7,60,95,100
E,4,Z3,8,0,80,100
E,4,Z3,9,0,100,100
E,4,Z3,10,100,100,100
E,4,Z3,11,100,100,100
E,4,Z3,12,90,100,100
E,4,Z4,1,0,90,50
E,4,Z4,2,35,90,100
E,4,Z4,3,50,80,90
E,4,Z4,4,100,100,100
E,4,Z4,5,60,100,100
E,4,Z4,6,50,100,100
E,4,Z4,7,70,90,90
E,4,Z4,8,50,70,80
E,4,Z4,9,60,95,95
E,4,Z4,10,100,100,100
E,4,Z4,11,70,90,90
E,4,Z4,12,70,80,90
E,5,Z1,1,0,30,65
E,5,Z1,2,0,0,0
E,5,Z1,3,25,50,65
E,5,Z1,4,50,60,60
E,5,Z1,5,20,40,50
E,5,Z1,6,20,30,80
E,5,Z1,7,10,0,50
E,5,Z1,8,15,0,80
E,5,Z1,9,30,60,80
E,5,Z1,10,20,50,80
E,5,Z1,11,70,60,70
E,5,Z1,12,100,100,100
E,5,Z2,1,90,90,95
E,5,Z2,2,90,100,100
E,5,Z2,3,100,100,100
E,5,Z2,4,0,50,80
E,5,Z2,5,95,90,90
E,5,Z2,6,80,90,95
E,5,Z2,7,95,95,95
E,5,Z2,8,100,100,100
E,5,Z2,9,90,90,100
E,5,Z2,10,95,100,100
E,5,Z2,11,95,100,100
E,5,Z2,12,85,70,80
E,5,Z3,1,0,55,80
E,5,Z3,2,10,70,100
E,5,Z3,3,25,95,100
E,5,Z3,4,10,60,0
E,5,Z3,5,0,30,55
E,5,Z3,6,0,0,0
E,5,Z3,7,5,0,0
E,5,Z3,8,15,90,100
E,5,Z3,9,40,100,100
E,5,Z3,10,10,75,100
E,5,Z3,11,5,50,70
E,5,Z3,12,0,0,70
E,5,Z4,1,30,55,70
E,5,Z4,2,50,70,90
E,5,Z4,3,60,90,100
E,5,Z4,4,80,90,100
E,5,Z4,5,0,30,90
E,5,Z4,6,0,50,90
E,5,Z4,7,0,0,40
E,5,Z4,8,0,40,0
E,5,Z4,9,60,100,100
E,5,Z4,10,10,0,0
E,5,Z4,11,40,80,95
E,5,Z4,12,30,60,70
F,2,Z1,1,85,90,100
F,2,Z1,2,80,90,NA
F,2,Z1,3,100,NA,NA
F,2,Z1,4,90,NA,NA
F,2,Z1,5,100,NA,NA
F,2,Z1,6,95,NA,100
F,2,Z1,7,70,NA,100
F,2,Z1,8,60,90,NA
F,2,Z1,9,90,NA,NA
F,2,Z1,10,80,NA,NA
F,2,Z1,11,75,NA,NA
F,2,Z1,12,100,NA,100
F,2,Z2,1,100,NA,NA
F,2,Z2,2,100,NA,NA
F,2,Z2,3,100,NA,NA
F,2,Z2,4,95,NA,NA
F,2,Z2,5,80,NA,NA
F,2,Z2,6,80,NA,NA
F,2,Z2,7,80,NA,NA
F,2,Z2,8,100,NA,NA
F,2,Z2,9,90,NA,NA
F,2,Z2,10,60,NA,NA
F,2,Z2,11,50,NA,NA
F,2,Z2,12,85,NA,NA
F,2,Z3,1,70,30,100
F,2,Z3,2,100,NA,NA
F,2,Z3,3,100,NA,NA
F,2,Z3,4,100,NA,NA
F,2,Z3,5,100,NA,100
F,2,Z3,6,80,NA,NA
F,2,Z3,7,80,NA,NA
F,2,Z3,8,70,NA,NA
F,2,Z3,9,0,NA,NA
F,2,Z3,10,0,NA,NA
F,2,Z3,11,60,NA,NA
F,2,Z3,12,80,NA,100
F,2,Z4,1,50,NA,NA
F,2,Z4,2,20,NA,NA
F,2,Z4,3,30,NA,NA
F,2,Z4,4,40,NA,NA
F,2,Z4,5,0,NA,NA
F,2,Z4,6,0,20,NA
F,2,Z4,7,100,NA,100
F,2,Z4,8,100,NA,100
F,2,Z4,9,80,30,NA
F,2,Z4,10,60,40,NA
F,2,Z4,11,50,NA,NA
F,2,Z4,12,70,NA,NA
F,3,Z1,1,60,85,90
F,3,Z1,2,100,100,100
F,3,Z1,3,100,100,100
F,3,Z1,4,90,100,100
F,3,Z1,5,80,NA,NA
F,3,Z1,6,20,NA,NA
F,3,Z1,7,0,NA,60
F,3,Z1,8,0,70,90
F,3,Z1,9,40,70,90
F,3,Z1,10,50,80,90
F,3,Z1,11,100,80,90
F,3,Z1,12,80,80,NA
