Date,Site,Plot,Subplot,Quadrat,Species_name,Number,DPM_Height,Fencing,Treatment,
08/04/2025,F,5,Z2,3,Digitaria erianthra,8,6.6,Fenced,THF,
08/04/2025,F,5,Z2,3,Heteropogon contortus,1,6.9,Fenced,THF,
08/04/2025,F,5,Z2,3,Cynodon dactylon,5,6.9,Fenced,THF,
08/04/2025,F,5,Z2,3,,,6.7,Fenced,THF,
08/04/2025,F,5,Z2,4,Chloris virgata,4,8.6,Fenced,THF,
08/04/2025,F,5,Z2,4,Eragrostsis gummiflua,3,7.4,Fenced,THF,
08/04/2025,F,5,Z2,4,Setaria incressata,3,7.9,Fenced,THF,
08/04/2025,F,5,Z2,4,Cynodon dactylon,2,4.7,Fenced,THF,
08/04/2025,F,5,Z2,5,Digitaria erianthra,3,7.6,Fenced,THF,
08/04/2025,F,5,Z2,5,Pogonarthria squarrosa ,14,5.8,Fenced,THF,
08/04/2025,F,5,Z2,5,,,6.4,Fenced,THF,
08/04/2025,F,5,Z2,5,,,7.1,Fenced,THF,
08/04/2025,F,5,Z1,1,Eragrostis rigidior,4,10.5,Fenced,THF,
08/04/2025,F,5,Z1,1,Digitaria erianthra,4,8.7,Fenced,THF,
08/04/2025,F,5,Z1,1,Cynodon dactylon,13,8.8,Fenced,THF,
08/04/2025,F,5,Z1,1,Setaria incressata,1,8.9,Fenced,THF,
08/04/2025,F,5,Z1,1,Dactyloctenium giganteum,5,,Fenced,THF,
08/04/2025,F,5,Z1,2,Eragrostis rigidior,4,4.9,Fenced,THF,
08/04/2025,F,5,Z1,2,Eragrostis gummiflua,2,4.7,Fenced,THF,
08/04/2025,F,5,Z1,2,Setaria incressata,1,5.2,Fenced,THF,
08/04/2025,F,5,Z1,2,Cynodon dactylon,4,5.3,Fenced,THF,
08/04/2025,F,5,Z1,2,Digitaria erianthra,4,,Fenced,THF,
08/04/2025,F,5,Z1,2,Dactyloctenium giganteum,1,,Fenced,THF,
08/04/2025,F,5,Z1,3,Eragrostis rigidior,3,7,Fenced,THF,
08/04/2025,F,5,Z1,3,Setaria incressata,5,6.7,Fenced,THF,
08/04/2025,F,5,Z1,3,Cynodon dactylon,2,6.9,Fenced,THF,
08/04/2025,F,5,Z1,3,Digitaria erianthra,4,7.2,Fenced,THF,
08/04/2025,F,5,Z1,4,Cynodon dactylon,16,5.6,Fenced,THF,
08/04/2025,F,5,Z1,4,Digitaria erianthra,2,5,Fenced,THF,
08/04/2025,F,5,Z1,4,,,6.7,Fenced,THF,
08/04/2025,F,5,Z1,4,,,7.2,Fenced,THF,
08/04/2025,F,5,Z1,5,Cynodon dactylon,8,6.9,Fenced,THF,
08/04/2025,F,5,Z1,5,Digitaria erianthra,13,7,Fenced,THF,
08/04/2025,F,5,Z1,5,Setaria incressata,3,7.1,Fenced,THF,
08/04/2025,F,5,Z1,5,,,7.2,Fenced,THF,
08/04/2025,F,5,Z3,3,Setaria incressata,4,8,Unfenced,THF,
08/04/2025,F,5,Z3,3,Enteropogon macrostachyus,1,8.3,Unfenced,THF,
08/04/2025,F,5,Z3,3,Cynodon dactylon,2,8,Unfenced,THF,
08/04/2025,F,5,Z3,3,,,7.7,Unfenced,THF,
08/04/2025,F,5,Z3,4,Cynodon dactylon,3,6.7,Unfenced,THF,
08/04/2025,F,5,Z3,4,Digitaria erianthra,12,5.6,Unfenced,THF,
08/04/2025,F,5,Z3,4,Setaria incressata,2,5.5,Unfenced,THF,
08/04/2025,F,5,Z3,4,Chloris virgata,1,5.9,Unfenced,THF,
08/04/2025,F,5,Z3,5,Cynodon dactylon,27,10.5,Unfenced,THF,
08/04/2025,F,5,Z3,5,Eragrostis rigidior,1,9.6,Unfenced,THF,
08/04/2025,F,5,Z3,5,Digitaria erianthra,1,9,Unfenced,THF,
08/04/2025,F,5,Z3,5,,,10.2,Unfenced,THF,
08/04/2025,F,5,Z3,1,Digitaria erianthra,4,9.3,Unfenced,THF,
08/04/2025,F,5,Z3,1,Cynodon dactylon,13,9.4,Unfenced,THF,
08/04/2025,F,5,Z3,1,Eragrostis rigidior,1,9,Unfenced,THF,
08/04/2025,F,5,Z3,1,,,8.4,Unfenced,THF,
08/04/2025,F,5,Z3,2,Cynodon dactylon,12,11.3,Unfenced,THF,
08/04/2025,F,5,Z3,2,Digitaria erianthra,4,17,Unfenced,THF,
08/04/2025,F,5,Z3,2,Setaria incressata,3,17.5,Unfenced,THF,
08/04/2025,F,5,Z3,2,,,17.5,Unfenced,THF,
08/04/2025,F,5,Z4,2,Digitaria erianthra,12,13.1,Unfenced,THF,
08/04/2025,F,5,Z4,2,Cynodon dactylon,6,12.6,Unfenced,THF,
08/04/2025,F,5,Z4,2,Setaria incressata,1,12.4,Unfenced,THF,
08/04/2025,F,5,Z4,2,,,13.9,Unfenced,THF,
08/04/2025,F,5,Z4,1,Digitaria erianthra,5,7,Unfenced,THF,
08/04/2025,F,5,Z4,1,Eragrostis rigidior,1,5.7,Unfenced,THF,
08/04/2025,F,5,Z4,1,Cynodon dactylon,7,4.8,Unfenced,THF,
08/04/2025,F,5,Z4,1,,,4.4,Unfenced,THF,
08/04/2025,F,5,Z4,3,Setaria incressata,11,10.3,Unfenced,THF,
08/04/2025,F,5,Z4,3,Eragrostis rigidior,2,9.8,Unfenced,THF,
08/04/2025,F,5,Z4,3,Cynodon dactylon,5,9.5,Unfenced,THF,
08/04/2025,F,5,Z4,3,,,11.2,Unfenced,THF,
08/04/2025,F,5,Z4,4,Cynodon dactylon,3,4.4,Unfenced,THF,
08/04/2025,F,5,Z4,4,Digitaria erianthra,6,4.7,Unfenced,THF,
08/04/2025,F,5,Z4,4,,,4.8,Unfenced,THF,
08/04/2025,F,5,Z4,4,,,4.6,Unfenced,THF,
08/04/2025,F,5,Z4,5,Digitaria erianthra,6,5.3,Unfenced,THF,
08/04/2025,F,5,Z4,5,Eragrostis rigidior,2,5.3,Unfenced,THF,
08/04/2025,F,5,Z4,5,Setaria incressata,3,5.4,Unfenced,THF,
08/04/2025,F,5,Z4,5,Aristida adscensionis,1,6.6,Unfenced,THF,
08/04/2025,F,4,Z2,1,Eragrostis rigidior,3,9.8,Fenced,TFB,
08/04/2025,F,4,Z2,1,,,10.2,Fenced,TFB,
08/04/2025,F,4,Z2,1,,,8.8,Fenced,TFB,
08/04/2025,F,4,Z2,1,,,7.8,Fenced,TFB,
08/04/2025,F,4,Z2,4,Pogonarthria squarrosa ,6,3.6,Fenced,TFB,
08/04/2025,F,4,Z2,4,Setaria incressata,2,3.4,Fenced,TFB,
08/04/2025,F,4,Z2,4,,,4.5,Fenced,TFB,
08/04/2025,F,4,Z2,4,,,5.1,Fenced,TFB,
08/04/2025,F,4,Z2,3,Chloris virgata,2,4.7,Fenced,TFB,
08/04/2025,F,4,Z2,3,,,4.3,Fenced,TFB,
08/04/2025,F,4,Z2,3,,,4.1,Fenced,TFB,
08/04/2025,F,4,Z2,3,,,4.2,Fenced,TFB,
08/04/2025,F,4,Z2,2,Brachiaria nigropedata,1,6.4,Fenced,TFB,
08/04/2025,F,4,Z2,2,Eragrostis rigidior,1,5.6,Fenced,TFB,
08/04/2025,F,4,Z2,2,Cynodon dactylon,1,5.3,Fenced,TFB,
08/04/2025,F,4,Z2,2,Eragrostis gummiflua,4,5.7,Fenced,TFB,
08/04/2025,F,4,Z2,5,Brachiaria nigropedata,1,5.4,Fenced,TFB,
08/04/2025,F,4,Z2,5,Eragrostis rigidior,5,4.3,Fenced,TFB,
08/04/2025,F,4,Z2,5,Digitaria erianthra,4,8.1,Fenced,TFB,
08/04/2025,F,4,Z2,5,,,8.5,Fenced,TFB,
08/04/2025,F,4,Z3,2,Cynodon dactylon,6,4.5,Unfenced,TFB,
08/04/2025,F,4,Z3,2,Setaria incressata,3,4.1,Unfenced,TFB,
08/04/2025,F,4,Z3,2,Aristida adscensionis,1,4,Unfenced,TFB,
08/04/2025,F,4,Z3,2,,,3.7,Unfenced,TFB,
08/04/2025,F,4,Z3,5,Digitaria erianthra,10,4.7,Unfenced,TFB,
08/04/2025,F,4,Z3,5,Eragrostis viscosa,2,5.3,Unfenced,TFB,
08/04/2025,F,4,Z3,5,Eragrostis rigidior,1,5.4,Unfenced,TFB,
08/04/2025,F,4,Z3,5,Cynodon dactylon,2,5.4,Unfenced,TFB,
08/04/2025,F,4,Z3,3,Digitaria erianthra,11,6,Unfenced,TFB,
08/04/2025,F,4,Z3,3,Heteropogon contortus,1,5.1,Unfenced,TFB,
08/04/2025,F,4,Z3,3,,,5,Unfenced,TFB,
08/04/2025,F,4,Z3,3,,,4.9,Unfenced,TFB,
08/04/2025,F,4,Z3,4,Aristida adscensionis,1,6,Unfenced,TFB,
08/04/2025,F,4,Z3,4,Digitaria erianthra,15,6.1,Unfenced,TFB,
08/04/2025,F,4,Z3,4,Eragrostis viscosa,1,5.9,Unfenced,TFB,
08/04/2025,F,4,Z3,4,,,6.2,Unfenced,TFB,
08/04/2025,F,4,Z3,1,Eragrostis rigidior,5,9.3,Unfenced,TFB,
08/04/2025,F,4,Z3,1,Digitaria erianthra,4,7.1,Unfenced,TFB,
08/04/2025,F,4,Z3,1,Eragrostis viscosa,6,6,Unfenced,TFB,
08/04/2025,F,4,Z3,1,Cynodon dactylon,3,5.7,Unfenced,TFB,
08/04/2025,F,4,Z1,1,Setaria incressata,4,5.5,Fenced,TFB,
08/04/2025,F,4,Z1,1,Eragrostis viscosa,7,5.2,Fenced,TFB,
08/04/2025,F,4,Z1,1,,,4.8,Fenced,TFB,
08/04/2025,F,4,Z1,1,,,4.4,Fenced,TFB,
08/04/2025,F,4,Z1,2,Brachiaria nigropedata,1,8.5,Fenced,TFB,
08/04/2025,F,4,Z1,2,Heteropogon contortus,1,10.8,Fenced,TFB,
08/04/2025,F,4,Z1,2,,,8.7,Fenced,TFB,
08/04/2025,F,4,Z1,2,,,9.5,Fenced,TFB,
08/04/2025,F,4,Z1,3,Aristida adscensionis,3,8.5,Fenced,TFB,
08/04/2025,F,4,Z1,3,Setaria incressata,8,10.8,Fenced,TFB,
08/04/2025,F,4,Z1,3,,,10.2,Fenced,TFB,
08/04/2025,F,4,Z1,3,,,10,Fenced,TFB,
08/04/2025,F,4,Z1,4,Setaria incressata,8,8,Fenced,TFB,
08/04/2025,F,4,Z1,4,Digitaria erianthra,4,9.2,Fenced,TFB,
08/04/2025,F,4,Z1,4,,,10,Fenced,TFB,
08/04/2025,F,4,Z1,4,,,8.9,Fenced,TFB,
08/04/2025,F,4,Z1,5,Pogonarthria squarrosa ,7,1.9,Fenced,TFB,
08/04/2025,F,4,Z1,5,Eragrostis viscosa,1,3.3,Fenced,TFB,
08/04/2025,F,4,Z1,5,,,3.3,Fenced,TFB,
08/04/2025,F,4,Z1,5,,,3.9,Fenced,TFB,
08/04/2025,F,4,Z4,2,Panicum maximum,3,12,Unfenced,TFB,
08/04/2025,F,4,Z4,2,Enteropogon macrostachyus,1,15.3,Unfenced,TFB,
08/04/2025,F,4,Z4,2,,,14,Unfenced,TFB,
08/04/2025,F,4,Z4,2,,,16.5,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Heteropogon contortus,1,6.3,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Digitaria erianthra,1,6.9,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Aristida adscensionis,1,7.9,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Setaria incressata,4,7.7,Unfenced,TFB,
08/04/2025,F,4,Z4,5,Cynodon dactylon,2,,Unfenced,TFB,
08/04/2025,F,4,Z4,3,Digitaria erianthra,1,2.6,Unfenced,TFB,
08/04/2025,F,4,Z4,3,Eragrostis viscosa,2,2.7,Unfenced,TFB,
08/04/2025,F,4,Z4,3,Pogonarthria squarrosa ,1,3.3,Unfenced,TFB,
08/04/2025,F,4,Z4,3,,,4.1,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Digitaria erianthra,6,3.4,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Cynodon dactylon,6,4.8,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Pogonarthria squarrosa ,1,6.9,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Heteropogon contortus,1,7.2,Unfenced,TFB,
08/04/2025,F,4,Z4,4,Setaria incressata,1,,Unfenced,TFB,
08/04/2025,F,4,Z4,1,Setaria incressata,4,5.8,Unfenced,TFB,
08/04/2025,F,4,Z4,1,Aristida adscensionis,2,5.6,Unfenced,TFB,
08/04/2025,F,4,Z4,1,,,7.7,Unfenced,TFB,
08/04/2025,F,4,Z4,1,,,9,Unfenced,TFB,
09/04/2025,F,3,Z1,2,Digitaria erianthra,3,6.3,Fenced,TF,
09/04/2025,F,3,Z1,2,,,1.7,Fenced,TF,
09/04/2025,F,3,Z1,2,,,1.7,Fenced,TF,
09/04/2025,F,3,Z1,2,,,3.7,Fenced,TF,
09/04/2025,F,3,Z1,1,Eragrostis viscosa,16,6.4,Fenced,TF,
09/04/2025,F,3,Z1,1,Pogonarthria squarrosa ,2,5.2,Fenced,TF,
09/04/2025,F,3,Z1,1,,,4.2,Fenced,TF,
09/04/2025,F,3,Z1,1,,,4.2,Fenced,TF,
09/04/2025,F,3,Z1,3,Eragrostis viscosa,5,10.6,Fenced,TF,
09/04/2025,F,3,Z1,3,Eragrostis rigidior,2,7.2,Fenced,TF,
09/04/2025,F,3,Z1,3,Digitaria erianthra,4,7.2,Fenced,TF,
09/04/2025,F,3,Z1,3,Cynodon dactylon,3,7.1,Fenced,TF,
09/04/2025,F,3,Z1,4,Cynodon dactylon,2,5.1,Fenced,TF,
09/04/2025,F,3,Z1,4,Digitaria erianthra,6,5.5,Fenced,TF,
09/04/2025,F,3,Z1,4,Eragrostis viscosa,3,5.6,Fenced,TF,
09/04/2025,F,3,Z1,4,,,8.9,Fenced,TF,
09/04/2025,F,3,Z1,5,Setaria incressata,2,5.4,Fenced,TF,
09/04/2025,F,3,Z1,5,Digitaria erianthra,2,5.8,Fenced,TF,
09/04/2025,F,3,Z1,5,,,6.1,Fenced,TF,
09/04/2025,F,3,Z1,5,,,6.5,Fenced,TF,
09/04/2025,F,3,Z2,2,Eragrostis viscosa,9,7.2,Fenced,TF,
09/04/2025,F,3,Z2,2,Pogonarthria squarrosa ,2,7.9,Fenced,TF,
09/04/2025,F,3,Z2,2,Eragrostis rigidior,2,7.8,Fenced,TF,
09/04/2025,F,3,Z2,2,,,7.5,Fenced,TF,
09/04/2025,F,3,Z2,1,Eragrostis viscosa,18,8.3,Fenced,TF,
09/04/2025,F,3,Z2,1,Setaria incressata,1,6.4,Fenced,TF,
09/04/2025,F,3,Z2,1,Eragrostis rigidior,1,6.8,Fenced,TF,
09/04/2025,F,3,Z2,1,,,7.1,Fenced,TF,
09/04/2025,F,3,Z2,5,Eragrostis viscosa,8,6.5,Fenced,TF,
09/04/2025,F,3,Z2,5,Eragrostis rigidior,2,6.2,Fenced,TF,
09/04/2025,F,3,Z2,5,Perotis patens,1,5.9,Fenced,TF,
09/04/2025,F,3,Z2,5,,,6.2,Fenced,TF,
09/04/2025,F,3,Z2,3,Eragrostis viscosa,8,6.9,Fenced,TF,
09/04/2025,F,3,Z2,3,Digitaria erianthra,5,6.4,Fenced,TF,
09/04/2025,F,3,Z2,3,Eragrostis rigidior,3,7,Fenced,TF,
09/04/2025,F,3,Z2,3,Eragrostis gummiflua,4,6.8,Fenced,TF,
09/04/2025,F,3,Z2,4,Setaria incressata,4,6.8,Fenced,TF,
09/04/2025,F,3,Z2,4,Eragrostis rigidior,1,6.5,Fenced,TF,
09/04/2025,F,3,Z2,4,,,6.3,Fenced,TF,
09/04/2025,F,3,Z2,4,,,6,Fenced,TF,
09/04/2025,F,3,Z4,1,Eragrostis rigidior,2,6.4,Unfenced,TF,
09/04/2025,F,3,Z4,1,Cynodon dactylon,7,6.6,Unfenced,TF,
09/04/2025,F,3,Z4,1,Digitaria erianthra,7,6.4,Unfenced,TF,
09/04/2025,F,3,Z4,1,,,6.6,Unfenced,TF,
09/04/2025,F,3,Z4,4,Cynodon dactylon,4,7.4,Unfenced,TF,
09/04/2025,F,3,Z4,4,Eragrostis rigidior,3,8.7,Unfenced,TF,
09/04/2025,F,3,Z4,4,Digitaria erianthra,2,8.9,Unfenced,TF,
09/04/2025,F,3,Z4,4,,,9.6,Unfenced,TF,
09/04/2025,F,3,Z4,3,Cynodon dactylon,13,4.7,Unfenced,TF,
09/04/2025,F,3,Z4,3,Digitaria erianthra,7,6.8,Unfenced,TF,
09/04/2025,F,3,Z4,3,Setaria incressata,4,8.6,Unfenced,TF,
09/04/2025,F,3,Z4,3,,,9.1,Unfenced,TF,
09/04/2025,F,3,Z4,5,Cynodon dactylon,12,11.6,Unfenced,TF,
09/04/2025,F,3,Z4,5,Eragrostis rigidior,1,9.7,Unfenced,TF,
09/04/2025,F,3,Z4,5,Pogonarthria squarrosa ,1,8.3,Unfenced,TF,
09/04/2025,F,3,Z4,5,Digitaria erianthra,5,8.1,Unfenced,TF,
09/04/2025,F,3,Z4,2,Enteropogon macrostachyus,1,5.1,Unfenced,TF,
09/04/2025,F,3,Z4,2,Digitaria erianthra,3,5.3,Unfenced,TF,
09/04/2025,F,3,Z4,2,Setaria incressata,1,9.4,Unfenced,TF,
09/04/2025,F,3,Z4,2,,,9,Unfenced,TF,
09/04/2025,F,3,Z3,1,Cynodon dactylon,8,7.2,Unfenced,TF,
09/04/2025,F,3,Z3,1,Pogonarthria squarrosa ,2,7.1,Unfenced,TF,
09/04/2025,F,3,Z3,1,Eragrostis viscosa,5,7.2,Unfenced,TF,
09/04/2025,F,3,Z3,1,Setaria incressata,3,7.5,Unfenced,TF,
09/04/2025,F,3,Z3,2,Eragrostis rigidior,2,7,Unfenced,TF,
09/04/2025,F,3,Z3,2,Digitaria erianthra,1,5.5,Unfenced,TF,
09/04/2025,F,3,Z3,2,,,3.9,Unfenced,TF,
09/04/2025,F,3,Z3,2,,,3.4,Unfenced,TF,
09/04/2025,F,3,Z3,3,Cynodon dactylon,6,3.6,Unfenced,TF,
09/04/2025,F,3,Z3,3,Digitaria erianthra,3,3.6,Unfenced,TF,
09/04/2025,F,3,Z3,3,,,4.6,Unfenced,TF,
09/04/2025,F,3,Z3,3,,,4.5,Unfenced,TF,
09/04/2025,F,3,Z3,5,Cynodon dactylon,4,6.8,Unfenced,TF,
09/04/2025,F,3,Z3,5,Digitaria erianthra,3,9.6,Unfenced,TF,
09/04/2025,F,3,Z3,5,Setaria incressata,7,9.6,Unfenced,TF,
09/04/2025,F,3,Z3,5,Eragrostis viscosa,1,9.8,Unfenced,TF,
09/04/2025,F,3,Z3,4,Cynodon dactylon,6,19.4,Unfenced,TF,
09/04/2025,F,3,Z3,4,Digitaria erianthra,3,8.5,Unfenced,TF,
09/04/2025,F,3,Z3,4,,,10.7,Unfenced,TF,
09/04/2025,F,3,Z3,4,,,11.7,Unfenced,TF,
09/04/2025,F,2,Z4,4,Cynodon dactylon,5,8.5,Unfenced,F,
09/04/2025,F,2,Z4,4,Eragrostis rigidior,1,7.9,Unfenced,F,
09/04/2025,F,2,Z4,4,Digitaria erianthra,2,8,Unfenced,F,
09/04/2025,F,2,Z4,4,Setaria incressata,2,8.1,Unfenced,F,
09/04/2025,F,2,Z4,2,Aristida adscensionis,2,3.9,Unfenced,F,
09/04/2025,F,2,Z4,2,Digitaria erianthra,11,4.2,Unfenced,F,
09/04/2025,F,2,Z4,2,Cynodon dactylon,5,4.6,Unfenced,F,
09/04/2025,F,2,Z4,2,Heteropogon contortus,1,4.3,Unfenced,F,
09/04/2025,F,2,Z4,5,Cynodon dactylon,4,2.2,Unfenced,F,
09/04/2025,F,2,Z4,5,Eragrostis viscosa,11,2,Unfenced,F,
09/04/2025,F,2,Z4,5,Pogonarthria squarrosa ,2,2.1,Unfenced,F,
09/04/2025,F,2,Z4,5,,,2,Unfenced,F,
09/04/2025,F,2,Z4,4,Cynodon dactylon,6,6.9,Unfenced,F,
09/04/2025,F,2,Z4,4,Eragrostis viscosa,8,6.1,Unfenced,F,
09/04/2025,F,2,Z4,4,,,6.4,Unfenced,F,
09/04/2025,F,2,Z4,4,,,6.3,Unfenced,F,
09/04/2025,F,2,Z4,3,Enteropogon macrostachyus,3,2.9,Unfenced,F,
09/04/2025,F,2,Z4,3,,,2.6,Unfenced,F,
09/04/2025,F,2,Z4,3,,,2.8,Unfenced,F,
09/04/2025,F,2,Z4,3,,,2.9,Unfenced,F,
09/04/2025,F,2,Z3,4,Cynodon dactylon,3,2.3,Unfenced,F,
09/04/2025,F,2,Z3,4,Digitaria erianthra,2,2.3,Unfenced,F,
09/04/2025,F,2,Z3,4,Heteropogon contortus,2,3.7,Unfenced,F,
09/04/2025,F,2,Z3,4,Enteropogon macrostachyus,1,4,Unfenced,F,
09/04/2025,F,2,Z3,5,Digitaria erianthra,3,4.7,Unfenced,F,
09/04/2025,F,2,Z3,5,Cynodon dactylon,5,3.9,Unfenced,F,
09/04/2025,F,2,Z3,5,Eragrostis rigidior,3,4.4,Unfenced,F,
09/04/2025,F,2,Z3,5,,,4.5,Unfenced,F,
09/04/2025,F,2,Z3,3,Enteropogon macrostachyus,6,4.3,Unfenced,F,
09/04/2025,F,2,Z3,3,Eragrostis rigidior,,4.6,Unfenced,F,
09/04/2025,F,2,Z3,3,Cynodon dactylon,,4.7,Unfenced,F,
09/04/2025,F,2,Z3,3,,,5,Unfenced,F,
09/04/2025,F,2,Z3,2,Chloris virgata,1,6.1,Unfenced,F,
09/04/2025,F,2,Z3,2,Digitaria erianthra,10,6.3,Unfenced,F,
09/04/2025,F,2,Z3,2,Enteropogon macrostachyus,2,7.8,Unfenced,F,
09/04/2025,F,2,Z3,2,Heteropogon contortus,3,9.4,Unfenced,F,
09/04/2025,F,2,Z3,2,Cynodon dactylon,6,,Unfenced,F,
09/04/2025,F,2,Z3,1,Cynodon dactylon,8,4.2,Unfenced,F,
09/04/2025,F,2,Z3,1,Eragrostis rigidior,3,4.1,Unfenced,F,
09/04/2025,F,2,Z3,1,Dactyloctenium giganteum,2,5,Unfenced,F,
09/04/2025,F,2,Z3,1,Digitaria erianthra,5,5.4,Unfenced,F,
09/04/2025,F,2,Z1,4,Cynodon dactylon,6,6.3,Fenced,F,
09/04/2025,F,2,Z1,4,Eragrostis curvula,1,11.5,Fenced,F,
09/04/2025,F,2,Z1,4,Eragrostis rigidior,2,9.2,Fenced,F,
09/04/2025,F,2,Z1,4,,,8.8,Fenced,F,
09/04/2025,F,2,Z1,3,Chloris virgata,1,12,Fenced,F,
09/04/2025,F,2,Z1,3,Eragrostis rigidior,3,10.7,Fenced,F,
09/04/2025,F,2,Z1,3,Cynodon dactylon,10,10.7,Fenced,F,
09/04/2025,F,2,Z1,3,Eragrostis viscosa,6,10.4,Fenced,F,
09/04/2025,F,2,Z1,3,Setaria incressata,2,,Fenced,F,
09/04/2025,F,2,Z1,5,Eragrostis rigidior,6,8.1,Fenced,F,
09/04/2025,F,2,Z1,5,Chloris virgata,2,14.1,Fenced,F,
09/04/2025,F,2,Z1,5,Cynodon dactylon,3,13.4,Fenced,F,
09/04/2025,F,2,Z1,5,Setaria incressata,4,13.3,Fenced,F,
09/04/2025,F,2,Z1,5,Enteropogon macrostachyus,1,,Fenced,F,
09/04/2025,F,2,Z1,2,Enteropogon macrostachyus,4,11,Fenced,F,
09/04/2025,F,2,Z1,2,Eragrostis rigidior,2,12.4,Fenced,F,
09/04/2025,F,2,Z1,2,Panicum maximum,2,11.7,Fenced,F,
09/04/2025,F,2,Z1,2,,,10.9,Fenced,F,
09/04/2025,F,2,Z1,1,Enteropogon macrostachyus,2,3.8,Fenced,F,
09/04/2025,F,2,Z1,1,Eragrostis rigidior,2,3.9,Fenced,F,
09/04/2025,F,2,Z1,1,Digitaria erianthra,3,4,Fenced,F,
09/04/2025,F,2,Z1,1,Setaria incressata,1,4,Fenced,F,
09/04/2025,F,2,Z2,2,Digitaria erianthra,9,7.5,Fenced,F,
